candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
"VILLAR, CYNTHIA (NP) [1]",0.6163294673877654,1.596709722597987,1.1550399970232659,0.9620491323174369,-1.4675067945250868,0.3920694272676856
"POE, GRACE (IND) [2]",-0.6538153025292381,1.9959786924219054,0.7366887170281704,0.2695909765551241,-1.1577933404074365,1.3672237218437489
"GO, BONG GO (PDPLBN) [3]",2.0653176175791335,0.040512728653437975,1.6059077013232872,1.2327818816578116,-1.02825059122127,-0.9278402720524288
"CAYETANO, PIA (NP) [4]",0.426514147228465,1.5753893887684425,1.4484793725166896,0.3211615999001745,-1.4689679478501612,0.14581795803138706
"DELA ROSA, BATO (PDPLBN) [5]",1.8950390326926978,0.1061588640803047,1.756646039152035,1.0947159482534534,-1.1558732232675553,-0.9576821407041421
"ANGARA, EDGARDO SONNY (LDP) [6]",0.9173101810912526,0.6997909800472637,1.0107634370825929,1.005974785925971,-1.60438405541302,0.4686356611845666
"LAPID, LITO (NPC) [7]",-0.6410261147360713,2.813718832438399,-0.026076438192005703,0.04259565469001716,-0.6808498800406113,0.3178688067969646
"MARCOS, IMEE (NP) [8]",-0.6094930141437027,-0.2818491785575018,1.3401299960398936,2.544089547728535,-0.3364424449025663,-0.5039562724338764
"TOLENTINO, FRANCIS (PDPLBN) [9]",1.3776642991288872,0.13957640377784764,1.3908631705926604,0.8947111085360799,-1.2538470340727788,-0.31409556391686955
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.7582187594749583,1.5278745702870629,-0.7829010077620104,1.4297642095469567,-0.6206085643731495,-0.285371287136977
"PIMENTEL, KOKO (PDPLBN) [11]",1.1821869487790857,0.34101078909469296,1.2783063375013277,0.3152905470788346,-0.9737664492563254,-0.13232205420340137
"BINAY, NANCY (UNA) [12]",-0.300814232752748,1.407616355888485,0.08880080477341018,1.016355198705484,-0.7814879499615875,0.36941373596556176
"EJERCITO, ESTRADA JV (NPC) [13]",0.5311294330464478,0.8029575928617565,0.638615614409846,0.9922851422641382,-1.2042929549222752,0.18374752588388443
"AQUINO, BENIGNO BAM (LP) [14]",0.20771876777163523,0.7913569108589982,-0.07840329725727443,-0.17459879217386365,-1.0022042356732568,2.0295632056368116
"ESTRADA, JINGGOY (PMP) [15]",0.5258028654554022,1.2770558926936444,-0.41215846414910523,1.2939513622099137,-0.9493712945912268,-0.14472355347291535
"ROXAS, MAR (LP) [16]",0.5443194268224443,0.3414495558469377,-0.6112376602601514,0.1181050931453991,-0.7889801674624134,1.7600269669997528
"OSMEÑA, SERGE (IND) [17]",-0.07929442802000375,0.6837406219309734,0.896698419330785,-0.4010256433155181,-0.6748879409129681,0.6396842943336356
"ONG, DOC WILLIE (LAKAS) [18]",-0.659653931706705,0.006611078131257767,1.5395360188901586,-0.3089347063642353,-0.4313050829312772,0.6243213602377841
"MANGUDADATU, DONG (PDPLBN) [19]",2.1199364365256907,-1.1332398566324324,0.6036785315511123,1.0071092040964789,-0.4857405253415256,-0.6693846690786672
"MANICAD, JIGGY (IND) [20]",-0.6784747561770008,0.5359436396816939,1.221028419669428,-0.33750410935652325,-0.3777152702711847,0.2910950867433789
"DIOKNO, CHEL (LP) [21]",-0.026326493198828346,-0.3118081168339347,0.4161398626727545,-0.17005939703908865,-0.486088952250781,1.3831433612049835
"ENRILE, JUAN PONCE (PMP) [22]",-0.12345001416952592,0.5073426135314673,0.012949254657463653,0.3512827294665221,-0.2119087138236969,0.11595590868345276
"ALEJANO, GARY (LP) [23]",0.2647336634301346,-0.3771195119819386,-0.07489560811369497,0.03901709926301701,-0.4027785058670997,1.2365217937790685
"COLMENARES, NERI (MKBYN) [24]",-0.07023026223523753,-0.21617187723048914,0.38164992139021137,-0.07636687314873393,-0.3044957597069818,0.8742280925904218
"GUTOC, SAMIRA (LP) [25]",0.6885799912048118,-1.7144487609817034,-0.0040206608737490095,0.5887003666686027,0.010214490119984881,1.2807933309678927
"MACALINTAL, MACAROMY (IND) [26]",0.05600861308877967,-0.495589394941456,0.2268939118308583,0.0264310187634789,-0.315255695554075,1.0602544207280666
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",0.09166963269312114,-0.40365423503383463,0.09054575887917743,0.007423308436305525,-0.334387411084533,1.0957476783067994
"GADON, LARRY (KBL) [28]",-0.295796689344841,0.07093029623269648,0.7041267091526947,-0.09795206311295399,-0.15430475159869242,0.1192171068559969
"AGUILAR, FREDDIE (IND) [29]",0.13646194112996965,0.24999593861935673,0.0038777115886660324,0.03368692814235293,-0.0025461180859975663,-0.09663986313412959
"CHONG, GLENN (KDP) [30]",-0.11059436536116583,-0.0950079123196819,0.5021351160660881,-0.023412138359587106,0.010310210510688943,-0.011597822059014773
"MANGONDATO, FAISAL (IND) [31]",0.3314026635347703,-0.14652695857390344,0.11418496832232725,0.13012292823915617,-0.01727556919542133,-0.09254832662058712
"ESCUDERO, AGNES (IND) [32]",-0.035883945809178704,0.18446790487543635,0.029422150358904896,-0.029023727096236986,-0.07518301543373009,0.09739375035025959
