candidate,arch_0,arch_1,arch_2
"PADILLA, ROBIN (PDPLBN) [1]",0.043108925468758545,0.03172091286643859,0.05381150327923913
"LEGARDA, LOREN (NPC) [2]",0.034634207406239285,0.03743344457575492,0.11269897110698174
"TULFO, IDOL RAFFY (IND) [3]",0.025419928752036667,0.026850351076562484,0.07642850048495782
"GATCHALIAN, WIN (NPC) [4]",0.03534890103217659,0.038324247031831925,0.11846104473060369
"ESCUDERO, CHIZ (NPC) [5]",0.05346918469862368,0.05306595420471332,0.13763649610279857
"VILLAR, MARK (NP) [6]",0.02279370907824379,0.023020579437445995,0.0780523636786463
"CAYETANO, ALAN PETER (IND) [7]",0.023560101660171848,0.025538716603891027,0.07932162416351225
"ZUBIRI, MIGZ (IND) [8]",0.01716128005254393,0.016755587032015084,0.057646460179491536
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.04094206641198271,0.04261398606993653,0.11832589800609264
"EJERCITO, JV ESTRADA (NPC) [10]",0.017721894851541974,0.01782168276903697,0.060555050152647776
"HONTIVEROS, RISA (AKBAYAN) [11]",0.056931203762768064,0.05193381215525614,0.12050796276844201
"ESTRADA, JINGGOY (PMP) [12]",0.01895652229213526,0.01097096534734193,0.027436879150726578
"BINAY, JOJO (UNA) [13]",0.010072752694977446,0.010748430493618894,0.034876222666747274
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.02006053818485152,0.021452250833060234,0.06938914631797012
"TEODORO, GIBO (PRP) [15]",0.01940744492225468,0.019401320982910263,0.06610775190455302
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.032662281649217965,0.0343647908353481,0.09713732219160719
"ROQUE, HARRY SPOX (PRP) [17]",0.01692351700672441,0.012592490196392409,0.04409106406561816
"HONASAN, GRINGO (IND) [18]",0.016768476799809515,0.017974348866982803,0.05274620353480922
"DIOKNO, CHEL (KANP) [19]",0.05687797240320191,0.05168797192014825,0.1193298794270614
"GADON, LARRY (KBL) [20]",0.01803187013947661,0.019425548114931333,0.06197026003151522
"TRILLANES, ANTONIO IV (LP) [21]",0.041183121711276444,0.03513616120835589,0.07439190683416583
"GORDON, WOW DICK (BVNP) [22]",0.029441336176452896,0.026259750787889037,0.0591214466502611
"DE LIMA, LEILA (LP) [23]",0.042901701478966076,0.036126922594104154,0.07507956951314776
"COLMENARES, NERI (MKBYN) [24]",0.036088462423208116,0.032584581227454244,0.07458014443218909
"LACSON, KUYA ALEX (KP) [25]",0.023484155036588707,0.02069033559725948,0.045808946994662925
"PANELO, SAL PANALO (PDPLBN) [26]",0.0086035029184317,0.006641331518431219,0.023403713202980358
"MARCOS, FRANCIS LEO (IND) [27]",0.0057408797583804695,0.006068875746313349,0.01991594686490276
"BAGUILAT, TEDDY (LP) [28]",0.025903486433045807,0.022764511588100216,0.05022773412626503
"DEL ROSARIO, MONSOUR (PDR) [29]",0.0026145972850380003,0.002535518095888404,0.006377047838207314
"BALITA, CARL (AKSYON) [30]",0.007747572147327858,0.007339280041145205,0.017899573222370426
"PADILLA, DRA. MINGUITA (PDR) [31]",0.0028863870441169916,0.0031230720641966143,0.009827175885711937
"PIÑOL, MANNY (NPC) [32]",0.007554453797388784,0.005176621651786694,0.007979144540700334
"MARCOLETA, RODANTE (PDPLBN) [33]",0.004909378683745871,0.004562224135757525,0.015924574599042285
"PIMENTEL, ASTRA (PDPLBN) [34]",0.002399941294080011,0.0015068322378446574,0.002276957790327012
