candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,arch_6
"GO, BONG GO (PDPLBN) [1]",0.7983382146288345,0.8031169310963249,-0.7663737969485229,2.5586911729235235,2.2228910280765786,-0.46868356376684067,-1.8739616106158266
"AQUINO, BAM (KNP) [2]",0.5408319594177964,-1.282016534207442,-0.4154342756424959,1.0341310522727292,0.019617714403177333,3.155202966169772,-0.7423870480164518
"DELA ROSA, BATO (PDPLBN) [3]",-0.8287218975967476,0.8775860969316545,-0.4532270788645337,2.4060401084931495,2.5175065028477075,-0.7497679445670953,-1.3455485233354423
"TULFO, ERWIN (LAKAS) [4]",1.2979262920273662,-0.07395318935385647,2.1008286353650467,-0.12449471361577363,-0.8546314384983651,0.06500126123736844,-0.4479974339258032
"PANGILINAN, KIKO (LP) [5]",1.2028311672653151,-0.7798787915899401,-0.606953522311215,-0.26875866821490535,0.3997904811640246,2.3415535614408514,-0.600379970414809
"LACSON, PING (IND) [6]",1.597883631771556,0.7277402697780635,0.6889626453706558,0.11895225152159404,-0.9374223265843936,0.7493052070019883,-1.13429391272941
"MARCOLETA, RODANTE (IND) [7]",-0.37672651739299434,1.6402586888745947,-0.4081590527995558,2.1557571479785302,0.8751150974497945,-0.4726202866507748,-1.552981297522298
"SOTTO, TITO (NPC) [8]",0.48172115993070497,0.19116974542548393,1.7876846136070863,0.2952235757083077,-1.1590302040521867,0.7204194711179382,-0.6477095414537093
"CAYETANO, PIA (NP) [9]",1.7662937055175947,-0.2855645421286828,0.1126538669498827,1.1203806224102615,-0.407132269658749,0.6950346002819167,-1.1894470230549974
"VILLAR, CAMILLE (NP) [10]",1.9214426472338606,-0.23401318544043795,-0.5431232752599168,1.3980566437573767,0.5778445026809965,-0.2881465585305151,-1.0517551034343362
"LAPID, LITO (NPC) [11]",1.579615228707416,-1.657784771576776,1.0610813412586464,-0.06607376896343026,0.43422262939013456,0.23854877520889808,-0.061224722046867686
"MARCOS, IMEE R. (NP) [12]",1.8108570580209167,2.282030658635656,0.14683756533286121,1.620185524198469,-1.757626952825403,-0.9289834984847335,-1.3271323476185202
"TULFO, BEN BITAG (IND) [13]",-0.32289033972486547,-0.16866647715890884,2.237367124705354,-0.19631858547449696,-0.6890265242829284,0.2857732388467568,0.10443401647665959
"BONG REVILLA,RAMON, JR.(LAKAS) [14]",1.745583040841856,-0.38860252244259585,0.79605891041581,1.114570086865987,-0.7790916900618081,-0.31544698316967423,-0.6180891034947786
"BINAY, ABBY (NPC) [15]",1.9351598396048817,0.2931826308150131,0.2471308982247269,-0.2706544842565603,-0.3472467040786155,0.2875420891390258,-0.6960778660957603
"ABALOS, BENHUR (PFP) [16]",2.3935619944401685,1.1088683863117121,-0.11937482569295779,0.24807204454051177,-1.112787125598112,0.11650123786244895,-1.101066903398784
"BONDOC, JIMMY (PDPLBN) [17]",-0.6397626099749149,1.2839035059776163,-0.6693860352897351,0.38830581640372097,2.4169066828017156,-0.6640366563714457,-0.9313840141333318
"PACQUIAO, MANNY PACMAN (PFP) [18]",0.13323950965431236,-0.7224663550771931,1.367707319550273,0.18932728351951042,-0.07369550885971071,0.12802426866236355,0.11238489400253304
"SALVADOR, PHILLIP IPE (PDPLBN) [19]",-0.5948947415056601,0.5316625255690833,-0.1881545351719547,0.3644013161543799,2.342391134779974,-0.8462217369290334,-0.48406282848300575
"BOSITA, COLONEL (IND) [20]",-0.5852287014998934,0.8317170772393956,1.3027984549339797,-0.17115554353783669,-0.7725514970499487,0.8470301832090963,-0.44862567475006226
"MENDOZA, HEIDI (IND) [21]",-0.12623569737362272,0.5287132121631055,-0.25918550859831024,-0.28113562174785744,-0.2285151949894884,1.7334733674356018,-0.46498684454056677
"REVILLAME, WILLIE WIL (IND) [22]",-0.24076557225008555,-0.6612962055191307,1.3582049192508556,-0.011348502026600898,0.2719179276975594,-0.0341299514959425,0.20578558522175577
"RODRIGUEZ, ATTY. VIC (IND) [23]",-0.39267782714461597,1.288084383187528,-0.5583123371584615,0.36623835733875515,1.574787287440295,-0.4186503737566317,-0.8935363743595381
"LAMBINO, RAUL (PDPLBN) [24]",-0.5388625685706102,1.1720717993625223,-0.4940937746886236,0.21056647500782516,2.0554436622096075,-0.6884554070493326,-0.7858880948569766
"TOLENTINO, FRANCIS TOL (PFP) [25]",1.9208626934920514,0.4336020978141423,-0.674216515139757,0.5783818378674787,-0.3512195316825445,0.24835276279362228,-1.0751258265248804
"ONG, DOC WILLIE (AKSYON) [26]",-0.3386500459466334,0.2692744530832861,0.7364132011407455,-0.07242152772387117,-0.09649207569189305,0.6415936491539393,-0.3826209852645257
"HINLO, JAYVEE (PDPLBN) [27]",-0.5280912797291766,0.994652528774502,-0.536684697012925,0.11892100941004854,2.1090211050885803,-0.6354085822291278,-0.7014863701299943
"HONASAN, GRINGO (RP) [28]",-0.1871647478911902,0.6615675810453623,0.38178697860508587,0.06977311365762609,0.10968942804265872,0.22951903896105857,-0.5300838992358542
"ESPIRITU, LUKE (PLM) [29]",-0.060907467597649076,0.274840671667115,-0.2831771837316812,-0.19320549588834823,-0.09003239400321979,1.3738755178054105,-0.35782400173060414
"MATA, DOC MARITES (IND) [30]",-0.4876176424063415,0.9032782586624851,-0.25098878408371533,-0.07091580864739837,1.4927237326315825,-0.38490754213293266,-0.5835899575102107
"QUIBOLOY, APOLLO (IND) [31]",-0.3625639332072894,0.8905317350064674,-0.43200179892689317,0.10193334522575838,1.611521884657434,-0.6135706339094309,-0.5562507204784306
"CASIÑO, TEDDY (MKBYN) [32]",-0.11427076253539989,0.3272002992622933,-0.15135501550155378,-0.1411878362504609,-0.11932348774531282,1.0180804899923093,-0.3448752681403744
"BROSAS, ARLENE (MKBYN) [33]",-0.11447086575329661,0.2864628199697176,-0.1174772383006737,-0.1343132268097907,-0.11351521105895372,0.9327654981943481,-0.2982637582656026
"DE GUZMAN, KA LEODY (PLM) [34]",-0.10488222365296554,0.2288223041775821,-0.09073346419969527,-0.12697154171673458,-0.07993490410482432,0.8374920358521485,-0.24417699336849036
"RAMOS, DANILO (MKBYN) [35]",-0.1352568070994072,0.2404017378532767,-0.006159631701833611,-0.0989193973934119,-0.11618428809458436,0.7702246763431969,-0.23897666116542693
"MAZA, LIZA (MKBYN) [36]",-0.11444656168190379,0.2511659736930548,-0.08844935847208701,-0.11839352032066916,-0.10411723429297287,0.8337308268320208,-0.261654122840039
"QUERUBIN, ARIEL PORFIRIO (NP) [37]",-0.08684740364645185,0.5251531586902138,0.051145871355100056,0.07398598945063867,0.0986577669607759,0.13756765453451653,-0.3542417226890009
"MATULA, ATTY. SONNY (WPP) [38]",-0.10711704490536328,0.23860009007891964,-0.13981871376489305,-0.09259398673725958,-0.052574562236393806,0.8080487302788568,-0.2605634251592425
"ARAMBULO, RONNEL (MKBYN) [39]",-0.13411446645494257,0.22045292620458956,-0.00394157328204927,-0.09292786104872362,-0.12591413919681976,0.7559528639848833,-0.2308757640503475
"CASTRO, TEACHER FRANCE (MKBYN) [40]",-0.06186730355539654,0.14885226570721638,-0.09324836862783359,-0.1368335067567123,-0.02796765880569462,0.747292890427817,-0.2031475016914403
"DE ALBAN,ATTORNEY ANGELO (IND) [41]",-0.11099357775297544,0.20060655067424407,0.07166749438066294,-0.041548884193803946,-0.06691366626784717,0.3737121170793881,-0.16386033682775683
