candidate,arch_0,arch_1,arch_2,arch_3,arch_4
"VILLAR, CYNTHIA (NP) [1]",0.6738437887882999,0.4976220732248781,0.7941538724514088,0.4357638466647306,0.377639926742393
"POE, GRACE (IND) [2]",0.4605641946627792,0.5167436848026338,0.7707044397021883,0.6069640906004615,0.388717061690641
"GO, BONG GO (PDPLBN) [3]",0.7559595115842662,0.44916442215820657,0.8507095155362946,0.7201993118840884,0.6893915039058736
"CAYETANO, PIA (NP) [4]",0.7106225803161385,0.4278615779714096,0.7343783977545456,0.37792955491479163,0.4071739024255089
"DELA ROSA, BATO (PDPLBN) [5]",0.7727474963526278,0.4782812598950591,0.8757457558720243,0.747799886372681,0.6980465219476043
"ANGARA, EDGARDO SONNY (LDP) [6]",0.695765811763137,0.39329706708268297,0.653902743955791,0.3602155979356843,0.38125236194398626
"LAPID, LITO (NPC) [7]",0.3466951354906796,0.8277634214915907,0.8448106512442303,1.0229185145966841,0.30452674177892614
"MARCOS, IMEE (NP) [8]",0.9875163027722591,0.39403083659008853,0.9365405235046668,0.8070443613500204,0.38672490066498566
"TOLENTINO, FRANCIS (PDPLBN) [9]",0.6800080734962918,0.39021004491296635,0.6608213498109429,0.5681792998759507,0.5112360948468329
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.42254159762474836,0.8779830405640161,0.823201830319678,1.0246952043304087,0.25731168013702405
"PIMENTEL, KOKO (PDPLBN) [11]",0.646356133319309,0.34724200624352153,0.5122784164822579,0.5609128688709548,0.4390538145709236
"BINAY, NANCY (UNA) [12]",0.2745622325142271,0.5612923462919854,0.6857699115073689,0.7402032947857992,0.2580210168687833
"EJERCITO, ESTRADA JV (NPC) [13]",0.47221567644766543,0.36740077696060747,0.5960385262510813,0.32751073125615227,0.27757798194111183
"AQUINO, BENIGNO BAM (LP) [14]",0.5885772731251794,0.3267330957907874,0.567334319911376,0.34580722241245687,0.3339486780210619
"ESTRADA, JINGGOY (PMP) [15]",0.39268214698070697,0.7188134693934344,0.7544498751641644,0.8202431841360692,0.2385659339002154
"ROXAS, MAR (LP) [16]",0.5511047265282434,0.3306436219299353,0.5141049031657206,0.39316443046325456,0.2730866460073148
"OSMEÑA, SERGE (IND) [17]",0.36509984555263153,0.22066068334684202,0.2856276868663056,0.26104129959074657,0.1913530533513096
"ONG, DOC WILLIE (LAKAS) [18]",0.4216209654547232,0.5182050440158779,0.48824611841711796,0.6200447797490205,0.2509170374417813
"MANGUDADATU, DONG (PDPLBN) [19]",0.5537623355419672,0.39556659626080204,0.604289711679422,0.7518636479795963,0.5409861216955669
"MANICAD, JIGGY (IND) [20]",0.3255812561453508,0.2993451234772063,0.36749977314371063,0.36070392614891067,0.19323857750736778
"DIOKNO, CHEL (LP) [21]",0.2708440305052049,0.28801142727110646,0.3753416112938577,0.34765780386150674,0.2242352763421664
"ENRILE, JUAN PONCE (PMP) [22]",0.08805652551336512,0.1980991912908271,0.23319554381708957,0.26997185859816547,0.0896150989551463
"ALEJANO, GARY (LP) [23]",0.2517450594121744,0.14980053966227733,0.3079924070157917,0.20892993501760074,0.17587459479842976
"COLMENARES, NERI (MKBYN) [24]",0.17381030247747448,0.21581621400282425,0.24962285800866363,0.25401005556243594,0.14868438662900363
"GUTOC, SAMIRA (LP) [25]",0.17823974473194903,0.4447690564366474,0.4823632335639713,0.5522424576816753,0.1724851513144902
"MACALINTAL, MACAROMY (IND) [26]",0.17864602466534452,0.23726911563338351,0.2932321650794929,0.28450862300731217,0.1647761362358561
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",0.18661285135630512,0.18485967922581312,0.2858899626396207,0.22505028000680372,0.16673844315120373
"GADON, LARRY (KBL) [28]",0.1896839291765527,0.21027713810563295,0.2117872604124131,0.25560773127347575,0.10363665717731872
"AGUILAR, FREDDIE (IND) [29]",0.07409889797120645,0.07890247466612804,0.08409548420946737,0.08405554756589166,0.04322376803967869
"CHONG, GLENN (KDP) [30]",0.12899719031692053,0.17801627178634383,0.15598527455137465,0.21809626982247557,0.06809193477710654
"MANGONDATO, FAISAL (IND) [31]",0.08018073622144055,0.06441500079885654,0.0940997116382534,0.12122227414725845,0.08203813108674911
"ESCUDERO, AGNES (IND) [32]",0.03974263909861018,0.04454873061486898,0.05450284753982027,0.04895731298441642,0.025795959923071283
