candidate,arch_0,arch_1,arch_2,arch_3,arch_4
"PADILLA, ROBIN (PDPLBN) [1]",0.5949558700453085,-0.11905020917928638,-1.0106011084964681,2.843947072954667,0.31623450071938947
"LEGARDA, LOREN (NPC) [2]",1.6092049842808842,0.5236232980666827,0.19476197377035206,0.6578652413602383,-0.7631173746221737
"TULFO, IDOL RAFFY (IND) [3]",1.5318341569563965,0.09237466958808634,0.3792460456587948,0.33669171004652687,-0.29231558990011963
"GATCHALIAN, WIN (NPC) [4]",1.3779972534815037,0.9529977188784767,0.023835182148848083,0.5858781065555416,-0.9740835820971308
"ESCUDERO, CHIZ (NPC) [5]",1.4120392736247975,0.2497282244372788,1.0124247822402235,-0.25174436162823627,-0.7027114583748393
"VILLAR, MARK (NP) [6]",0.9765362462643067,1.5998456468742401,-0.25765113970728243,0.33424728771127926,-0.7409049006451103
"CAYETANO, ALAN PETER (IND) [7]",1.5041894114369156,0.6297094796465279,0.002242239287795007,0.16754238233087534,-0.5573129674397502
"ZUBIRI, MIGZ (IND) [8]",0.8030670277884516,1.5085980822904437,-0.1741251497047296,0.18788938880713463,-0.5064477124214568
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",1.4505402553287854,0.6246518113632437,0.5166815546820023,-0.19482529867133977,-0.7566443659773269
"EJERCITO, JV ESTRADA (NPC) [10]",1.5098474013990464,0.766538867591194,-0.33730269172071803,0.06916337408562456,-0.5366512831473275
"HONTIVEROS, RISA (AKBAYAN) [11]",0.23112865634729665,0.04695457391961057,1.6017503243095685,-0.21943191013079524,-0.37379067182437964
"ESTRADA, JINGGOY (PMP) [12]",1.49463554975651,0.031691506212777734,-0.7539743802589949,0.903782591131248,-0.25679220022487387
"BINAY, JOJO (UNA) [13]",1.422475492767284,-0.48085126943337847,-0.11966430275869022,0.4648630431759217,-0.14087251276277776
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.40622599835047174,0.30440874930984896,-0.047934734472676786,1.2540804792739417,-0.6029394580534876
"TEODORO, GIBO (PRP) [15]",-0.22793496092426757,1.7313477410930873,-0.118844253235909,0.748558890694677,-0.7281097674432775
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.5128810168360828,-0.27550707898417154,0.3907838251174891,1.1393105476838805,-0.6838391191426701
"ROQUE, HARRY SPOX (PRP) [17]",0.11443235693082897,1.4565896626418617,-0.4174273690431616,0.6429800080983,-0.5750065967528921
"HONASAN, GRINGO (IND) [18]",0.5421501662098703,0.43040921468856036,0.17582212393708985,0.1909628439786638,-0.3562993469362922
"DIOKNO, CHEL (KANP) [19]",-0.5293480031136208,-0.3057886280531133,1.6394054616399925,0.49743354683644264,-0.4394242986697071
"GADON, LARRY (KBL) [20]",0.14516016636627727,0.5676176314946041,-0.0015718801166856582,0.8575573220711212,-0.5781035279478401
"TRILLANES, ANTONIO IV (LP) [21]",0.03112834614405799,-0.4374465797779954,1.297453320103546,-0.176124835552288,-0.06437464957476219
"GORDON, WOW DICK (BVNP) [22]",0.11744734761980773,-0.050121230085651544,0.8805670705026823,-0.13840960961416948,-0.12486275764134161
"DE LIMA, LEILA (LP) [23]",-0.3627165996089184,-0.43394097634090945,1.4203200370537759,-0.010502260701369068,-0.05728680895466665
"COLMENARES, NERI (MKBYN) [24]",-0.3918522757701713,-0.10928239551996356,1.062456677146215,0.23368847530168055,-0.2674700301357927
"LACSON, KUYA ALEX (KP) [25]",-0.28032185575620194,-0.14387616121522673,0.7641714583787792,0.2229613826123937,-0.09324100106577289
"PANELO, SAL PANALO (PDPLBN) [26]",-0.30835552627634777,0.5620520640985789,-0.15578838382503665,0.7863074523126542,-0.30884654275785484
"MARCOS, FRANCIS LEO (IND) [27]",0.3202749668170828,0.049196727734505445,-0.052650664555619696,0.26985025308960725,-0.16337413926775557
"BAGUILAT, TEDDY (LP) [28]",-0.5704711729478672,-0.2942402301338751,0.859030629876635,0.518320086827108,-0.12237550315118441
"DEL ROSARIO, MONSOUR (PDR) [29]",0.1981788396119418,-0.09093674776224679,0.08989920734396967,0.09612925641019603,0.03102301117747289
"BALITA, CARL (AKSYON) [30]",-0.05112320911631494,-0.08751457497102022,0.24537664962266198,0.2776058862939883,-0.04176195825519791
"PADILLA, DRA. MINGUITA (PDR) [31]",-0.052764021703027755,0.10936260532902191,0.06384194390080392,0.2819115978967208,-0.051651196216639585
"PIÑOL, MANNY (NPC) [32]",-0.02088838634596613,0.5738621744171393,-0.19146798477197982,0.05278652736623977,-0.03495643592774702
"MARCOLETA, RODANTE (PDPLBN) [33]",0.009782370407674516,0.4970532873673204,-0.0666697587487749,0.11746049943873571,-0.18564062803366702
"PIMENTEL, ASTRA (PDPLBN) [34]",0.11983101877018898,0.22865212502581694,-0.05123721768947733,-0.024743753319532227,0.006645999338791409
