candidate,arch_0,arch_1,arch_2,arch_3
"VILLAR, CYNTHIA (NP) [1]",0.20766903089543506,0.2350160340319273,0.34709563998665866,0.223127630760638
"POE, GRACE (IND) [2]",0.3310513174004312,0.14358504148224674,0.23056189248871628,0.20696984261612164
"GO, BONG GO (PDPLBN) [3]",0.3411243748114852,0.36237364993296045,0.48237290758026036,0.47916273264550024
"CAYETANO, PIA (NP) [4]",0.2233883855070115,0.2665713060546805,0.42325432449688094,0.27335376134300626
"DELA ROSA, BATO (PDPLBN) [5]",0.3413192094179585,0.38547635378747075,0.527524660205087,0.5006297406054723
"ANGARA, EDGARDO SONNY (LDP) [6]",0.21074533416465924,0.24430175541591445,0.40233074167933985,0.2541580354610131
"LAPID, LITO (NPC) [7]",0.13597439731569758,0.1340496944234256,0.1372198424922236,0.2072618495600023
"MARCOS, IMEE (NP) [8]",0.258576664224428,0.25524615970504905,0.25280076083463776,0.2430096221282132
"TOLENTINO, FRANCIS (PDPLBN) [9]",0.22853399889500892,0.3088296423920836,0.46564518562002005,0.3768258272647185
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.19445564463868537,0.1415707327092952,0.24548991833891726,0.1754413020535473
"PIMENTEL, KOKO (PDPLBN) [11]",0.17697910190143498,0.2536383544093279,0.40709475000574324,0.3151314843187827
"BINAY, NANCY (UNA) [12]",0.12020637291507652,0.11248147995052016,0.0767834573317744,0.13324268368505462
"EJERCITO, ESTRADA JV (NPC) [13]",0.14759755110466882,0.17436797264707005,0.24367187595925524,0.16440354033614674
"AQUINO, BENIGNO BAM (LP) [14]",0.4074247453117311,0.12478799303722853,0.2032337317012228,0.23023201204599683
"ESTRADA, JINGGOY (PMP) [15]",0.1354278177466737,0.1149971217306175,0.11434501393308834,0.11757330011353204
"ROXAS, MAR (LP) [16]",0.3166421945687686,0.1217372948636674,0.11855539760536603,0.2103168832588253
"OSMEÑA, SERGE (IND) [17]",0.20552739645144846,0.13183366390552093,0.28000678556030817,0.15179182318505208
"ONG, DOC WILLIE (LAKAS) [18]",0.25139400763716385,0.19805632901278206,0.4062155442644001,0.22958977246176346
"MANGUDADATU, DONG (PDPLBN) [19]",0.2523486115766788,0.22329685994400936,0.28772532098981196,0.3453630688314874
"MANICAD, JIGGY (IND) [20]",0.1750000128654236,0.14793891402302342,0.2850607173143366,0.1613427061683866
"DIOKNO, CHEL (LP) [21]",0.30202076262986816,0.10941989819251637,0.24729039315278695,0.15538815992781904
"ENRILE, JUAN PONCE (PMP) [22]",0.038079484842769996,0.0386864624616453,0.03046671589624483,0.049556260028770796
"ALEJANO, GARY (LP) [23]",0.2369185217668878,0.08040792435041813,0.1383864923752154,0.12203731751169572
"COLMENARES, NERI (MKBYN) [24]",0.1950285420350521,0.07633296997006145,0.17749760001164924,0.1041873058139569
"GUTOC, SAMIRA (LP) [25]",0.20177844884650734,0.09923057746923936,0.16564217214238977,0.1153089784095917
"MACALINTAL, MACAROMY (IND) [26]",0.21866756664979595,0.07967146147396856,0.17487987101257757,0.1120405123002151
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",0.22071306536215382,0.07496521371060244,0.15006145935825607,0.11138899862671163
"GADON, LARRY (KBL) [28]",0.08763668031745687,0.08860496215924164,0.16749968910886395,0.1007723374860402
"AGUILAR, FREDDIE (IND) [29]",0.03073804592556398,0.012042011012923601,0.0204646707751308,0.015683161164280337
"CHONG, GLENN (KDP) [30]",0.04439734298335906,0.06197369583057961,0.10905111079006245,0.07717908118721843
"MANGONDATO, FAISAL (IND) [31]",0.03884606481732129,0.03194864340599449,0.04003309064387074,0.0515648420951746
"ESCUDERO, AGNES (IND) [32]",0.023209270835560875,0.008448205932227257,0.011270526712726242,0.015715085832039857
