candidate,arch_0,arch_1,arch_2
"VILLANUEVA, JOEL TESDAMAN (LP) [1]",0.004540219380071532,0.06658902057589951,0.01361317904643587
"DRILON, FRANK (LP) [2]",0.004918038483750966,0.04739451628577864,0.026998349275407958
"SOTTO, VICENTE (NPC) [3]",0.004598608158210368,0.07796004026477385,0.007643412286768167
"GORDON, DICK (IND) [4]",0.005819924685713986,0.08012345893723925,0.020329732745576527
"LACSON, PANFILO PING (IND) [5]",0.005813189154087151,0.0810732010775022,0.019743210336285753
"HONTIVEROS, RISA (AKBYN) [6]",0.005415734706139564,0.06422308979880333,0.024204065947559507
"PANGILINAN, KIKO (LP) [7]",0.004736087765412811,0.05261590548200301,0.022858130719901115
"ZUBIRI, MIGZ (IND) [8]",0.003936501930333912,0.036083875368258855,0.02240375524756596
"GATCHALIAN, WIN (NPC) [9]",0.0041714114725817306,0.06092230141384635,0.012652075292233859
"PACQUIAO, MANNY (UNA) [10]",0.0025877369823218183,0.03151921949053836,0.011157076036012167
"RECTO, RALPH (LP) [11]",0.00436194292462855,0.050788231373085864,0.019948116054903115
"DE LIMA, LEILA (LP) [12]",0.004451876565057096,0.042795375561548575,0.024485572677487504
"TOLENTINO, FRANCIS (IND) [13]",0.0038058757031634188,0.04450512940452476,0.01731293138368879
"OSMEÑA, SERGIO III (IND) [14]",0.005365700274491346,0.05588247207546783,0.027609377900267087
"ROMUALDEZ, MARTIN (LAKAS) [15]",0.000885913595464857,0.018617404310356776,0.0023120404879395638
"DOMAGOSO, ISKO MORENO (PMP) [16]",0.003642413779627811,0.04987850683267197,0.012866636066868142
"GUINGONA, TG (LP) [17]",0.00351468203098426,0.02738068261193792,0.021983474759103186
"COLMENARES, NERI (MKBYN) [18]",0.0025171278072179,0.023537525539694265,0.01412809600698692
"LAPID, MARK (AKSYON) [19]",0.0005731467408687091,0.011051149087281104,0.0006176347263983816
"PETILLA, CARLOS JERICHO (LP) [20]",0.0008861763024924824,0.019431295634634815,0.003697214544500966
"MANZANO, EDU (IND) [21]",0.0017066453006783957,0.019482110994456223,0.007990863982180268
"ROMULO, ROMAN (IND) [22]",0.001586233554472804,0.022023893332491724,0.005440590648432414
"OPLE, SUSAN (NP) [23]",0.0010136075512501878,0.015064781600143799,0.0029268210798342694
"LACSAMANA, ALMA MORENO (UNA) [24]",0.0005213583252767059,0.007235980127042745,0.0017896915657239338
"BELGICA, GRECO (IND) [25]",0.0009843547666941392,0.012983861001854157,0.0037391508262721532
"ALUNAN, RAFFY (IND) [26]",0.0008440423573272956,0.007269195676859859,0.0049990930792111685
"LANGIT, REY (UNA) [27]",0.0006522922115473999,0.010573291146233827,0.0013711202370769336
"GADON, LARRY (KBL) [28]",0.000471176385197373,0.005788475979072688,0.002006971035854841
"KAPUNAN, ATTY. LORNA (AKSYON) [29]",0.0006780364082600336,0.008255734291447695,0.002924801307544377
"PAGDILAO, SAMUEL (IND) [30]",0.00015595636981553432,0.003269976163665607,0.0003975486482888678
"SANTIAGO, DIONISIO (IND) [31]",0.0005144788627280346,0.004513827349858369,0.003012835851967389
"NAPEÑAS, GETULIO (UNA) [32]",0.00038324353596363986,0.005412042949698817,0.001264994213286147
"CHAVEZ, MEL (WPPPMM) [33]",0.00044352297223839007,0.003754294425279345,0.0026537836177556048
"MONTANO, ALLAN (UNA) [34]",0.00022571428896066354,0.0009887184644476797,0.00169367748923313
"AMBOLODTO, INA (LP) [35]",0.0005776170099790339,0.011715081579517356,0.001037849401114203
"BELLO, WALDEN (IND) [36]",0.0002778591314776234,0.0025890585811967747,0.0015634879589139343
"PALPARAN, JOVITO JR. (IND) [37]",0.00026903737926466196,0.0032983139124423927,0.0011493668323743116
"KIRAM, PRINCESS JACEL (UNA) [38]",7.095053633687262e-05,0.001542427584515191,0.0002661554974683327
"CAM, SANDRA (PMP) [39]",0.0002446847791062964,0.0020986657920150794,0.001452778961238753
"LIBAN, DANTE (IND) [40]",0.00031677706041209017,0.004098458121000522,0.0012446971645146698
"PAEZ, MR. COOP (IND) [41]",0.00022885005032768438,0.0004086125932539086,0.0020405117930643126
"MAGANTO, ROMEO (LAKAS) [42]",0.00017533795866244103,0.0024282154944125544,0.0006047630623182152
"ALBANI, SHARIFF (IND) [43]",0.00011155662572907787,0.002473432155410334,0.0005609233271246947
"MONTAÑO, MON (IND) [44]",0.00014608616802944474,0.00048410955928571424,0.0011487489633879543
"ARQUIZA, GODOFREDO (IND) [45]",0.00016621888435931406,0.0008698446772211466,0.0011981513570603136
"ALI, ALDIN (WPPPMM) [46]",0.00017180873920862028,0.0031598355564598896,0.00016935812089059114
"BALIGOD, LEVITO (IND) [47]",7.211878959315887e-05,0.00011358282081876571,0.0006351936254646739
"VALEROSO, DIOSDADO (IND) [48]",9.953619849974289e-05,0.0007203266432346546,0.0006440911328628858
"DORONA, RAY (IND) [49]",7.886995539512444e-05,0.00020974841821177166,0.0007243357216218701
"KABALU, EID (IND) [50]",7.07044305732458e-05,0.0013454454271502967,6.996300669336446e-05
