candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
"GO, BONG GO (PDPLBN) [1]",2.0269490266007644,1.2175635640703406,-0.8893613698039076,1.7527107145365095,-0.42395906167695785,-0.582331189441288
"AQUINO, BAM (KNP) [2]",-0.28411678682297364,0.16838666240354264,-0.5558341225250459,0.39747562875384385,0.14933102434955217,2.0531467475113434
"DELA ROSA, BATO (PDPLBN) [3]",2.307745010914436,0.1605763097721278,-0.3114813031907437,1.7757220413236883,-0.9087868886049613,-0.7790652686219199
"TULFO, ERWIN (LAKAS) [4]",-0.6054683264476379,0.6241152548245626,-0.7495392615684867,0.5972096918786725,1.6587983129659187,0.2712330271091391
"PANGILINAN, KIKO (LP) [5]",-0.045740070057578575,0.5978647572457413,-0.8266086625901469,-0.6707709656695771,0.6609465186208223,1.7368862516491401
"LACSON, PING (IND) [6]",-0.4213574359785806,1.1790808320906245,-0.977900646728197,0.5199080889556253,0.6053103474192372,0.8272872877545402
"MARCOLETA, RODANTE (IND) [7]",1.3813177088970507,0.5686379533309353,-0.3441728186786135,1.9066634681814323,-1.3271289356286804,-0.3846418802556509
"SOTTO, TITO (NPC) [8]",-0.6485081478780523,0.24361135693517025,-0.5658092444655469,0.962416502328027,0.7832233787667797,0.7205225017151503
"CAYETANO, PIA (NP) [9]",-0.29230564935258846,1.18336531304574,-0.9401802297155848,0.8752413344413246,0.5418167756137887,0.36982247413051295
"VILLAR, CAMILLE (NP) [10]",0.38825281761851294,1.4074073905524396,-0.7834944115092604,0.7845740357813742,0.43627018669959755,-0.47592489414061306
"LAPID, LITO (NPC) [11]",-0.2630801977325036,0.48294399318161163,-0.7463316641932215,-0.1694437991698811,2.054580962133136,0.0051342347917963495
"MARCOS, IMEE R. (NP) [12]",-0.3834174116181234,1.9299872186444427,-0.34962014100882965,1.9463406614077923,-0.7411629760447148,-0.48807133711515577
"TULFO, BEN BITAG (IND) [13]",-0.4631232905448249,-0.4578201027079934,-0.12646855423803238,0.5995277637499579,1.0750592602307445,0.40414660219877724
