candidate,arch_0,arch_1
"PADILLA, ROBIN (PDPLBN) [1]",0.5080951355349018,0.44695989478150466
"LEGARDA, LOREN (NPC) [2]",0.8242653966060203,0.034161523151567064
"TULFO, IDOL RAFFY (IND) [3]",0.6616439214636426,0.17031925587693153
"GATCHALIAN, WIN (NPC) [4]",0.7962874838656646,-0.06712326908990192
"ESCUDERO, CHIZ (NPC) [5]",0.7313278288397244,-0.017742819580754743
"VILLAR, MARK (NP) [6]",0.6710415490163087,0.016355058444435522
"CAYETANO, ALAN PETER (IND) [7]",0.632179115818414,0.049955818079621614
"ZUBIRI, MIGZ (IND) [8]",0.5804082379050514,0.08375658924667113
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.6929348464232535,-0.03714055619997225
"EJERCITO, JV ESTRADA (NPC) [10]",0.5373271625605011,0.027503512671314043
"HONTIVEROS, RISA (AKBAYAN) [11]",0.5229673430772052,0.02270918205812657
"ESTRADA, JINGGOY (PMP) [12]",0.4314722192140223,0.10888113954601554
"BINAY, JOJO (UNA) [13]",0.3761836369204741,0.10324065210052512
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.4996002165650151,-0.0409101105535765
"TEODORO, GIBO (PRP) [15]",0.5023615861992535,-0.056987699921543136
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.5083791094063901,-0.10902564723658607
"ROQUE, HARRY SPOX (PRP) [17]",0.41466645488627696,-0.023943451329215826
"HONASAN, GRINGO (IND) [18]",0.3649827065782145,0.009242318204486177
"DIOKNO, CHEL (KANP) [19]",0.41748594945810424,-0.07034556909512495
"GADON, LARRY (KBL) [20]",0.4019139953331687,-0.07106717230296865
"TRILLANES, ANTONIO IV (LP) [21]",0.26240418309997976,0.044047136532369205
"GORDON, WOW DICK (BVNP) [22]",0.259682568566939,0.03684387014387808
"DE LIMA, LEILA (LP) [23]",0.22890250493217032,0.028793934794555446
"COLMENARES, NERI (MKBYN) [24]",0.2544391321207869,-0.04237085983947317
"LACSON, KUYA ALEX (KP) [25]",0.17736070687550864,0.014744068655377217
"PANELO, SAL PANALO (PDPLBN) [26]",0.19639490626194223,-0.03238657973675219
"MARCOS, FRANCIS LEO (IND) [27]",0.1583107602304475,-0.00022344587941312832
"BAGUILAT, TEDDY (LP) [28]",0.16330676813864037,-0.012692681235987662
"DEL ROSARIO, MONSOUR (PDR) [29]",0.08431340286966456,0.05178420288662667
"BALITA, CARL (AKSYON) [30]",0.10897769131347054,0.02397599179472485
"PADILLA, DRA. MINGUITA (PDR) [31]",0.09933454218966248,0.025819471142689322
"PIÑOL, MANNY (NPC) [32]",0.07907759025941109,0.045310678020467565
"MARCOLETA, RODANTE (PDPLBN) [33]",0.1309630588154808,-0.010694886265914687
"PIMENTEL, ASTRA (PDPLBN) [34]",0.06311925396806192,0.042864731860272134
