candidate,arch_0,arch_1
"PADILLA, ROBIN (PDPLBN) [1]",3.364483840036661e-16,2.803736533363884e-16
"LEGARDA, LOREN (NPC) [2]",6.728967680073322e-16,0.0
"TULFO, IDOL RAFFY (IND) [3]",4.485978453382215e-16,1.962615573354719e-16
"GATCHALIAN, WIN (NPC) [4]",4.485978453382215e-16,7.00934133340971e-17
"ESCUDERO, CHIZ (NPC) [5]",1.1214946133455537e-16,0.0
"VILLAR, MARK (NP) [6]",0.0,0.0
"CAYETANO, ALAN PETER (IND) [7]",5.607473066727768e-16,7.00934133340971e-17
"ZUBIRI, MIGZ (IND) [8]",4.485978453382215e-16,4.205604800045826e-17
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",6.728967680073322e-16,0.0
"EJERCITO, JV ESTRADA (NPC) [10]",3.364483840036661e-16,3.154203600034369e-17
"HONTIVEROS, RISA (AKBAYAN) [11]",3.364483840036661e-16,1.0514012000114565e-17
"ESTRADA, JINGGOY (PMP) [12]",5.607473066727768e-17,1.2616814400137477e-16
"BINAY, JOJO (UNA) [13]",0.0,7.00934133340971e-17
"BAUTISTA, HERBERT BISTEK (NPC) [14]",5.046725760054991e-16,3.504670666704855e-17
"TEODORO, GIBO (PRP) [15]",3.364483840036661e-16,4.205604800045826e-17
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",2.2429892266911074e-16,7.00934133340971e-17
"ROQUE, HARRY SPOX (PRP) [17]",4.485978453382215e-16,0.0
"HONASAN, GRINGO (IND) [18]",4.485978453382215e-16,0.0
"DIOKNO, CHEL (KANP) [19]",0.0,4.205604800045826e-17
"GADON, LARRY (KBL) [20]",5.607473066727768e-17,4.205604800045826e-17
"TRILLANES, ANTONIO IV (LP) [21]",0.0,2.803736533363884e-17
"GORDON, WOW DICK (BVNP) [22]",1.6822419200183304e-16,4.205604800045826e-17
"DE LIMA, LEILA (LP) [23]",1.401868266681942e-16,1.0514012000114565e-17
"COLMENARES, NERI (MKBYN) [24]",5.607473066727768e-17,2.803736533363884e-17
"LACSON, KUYA ALEX (KP) [25]",5.607473066727768e-17,7.00934133340971e-18
"PANELO, SAL PANALO (PDPLBN) [26]",5.607473066727768e-17,2.102802400022913e-17
"MARCOS, FRANCIS LEO (IND) [27]",8.411209600091652e-17,0.0
"BAGUILAT, TEDDY (LP) [28]",1.1214946133455537e-16,8.761676666762137e-18
"DEL ROSARIO, MONSOUR (PDR) [29]",5.607473066727768e-17,3.504670666704855e-17
"BALITA, CARL (AKSYON) [30]",1.401868266681942e-17,2.102802400022913e-17
"PADILLA, DRA. MINGUITA (PDR) [31]",2.803736533363884e-17,2.102802400022913e-17
"PIÑOL, MANNY (NPC) [32]",9.813077866773594e-17,3.504670666704855e-17
"MARCOLETA, RODANTE (PDPLBN) [33]",1.401868266681942e-16,7.00934133340971e-18
"PIMENTEL, ASTRA (PDPLBN) [34]",2.803736533363884e-17,2.803736533363884e-17
