candidate,arch_0,arch_1,arch_2,arch_3
"PADILLA, ROBIN (PDPLBN) [1]",1.09946498639584,0.48238131215861735,-0.975415518995542,1.2959587231508851
"LEGARDA, LOREN (NPC) [2]",0.6371555148286717,-0.41021286524483824,0.08918714121350542,1.4586360348175176
"TULFO, IDOL RAFFY (IND) [3]",0.2250517523521488,-0.12696879317031662,0.24961491391386317,1.3131488050467925
"GATCHALIAN, WIN (NPC) [4]",0.7994196878897404,-0.5236978787609418,-0.020693992070553356,1.2851798284615745
"ESCUDERO, CHIZ (NPC) [5]",0.06377665702863518,-0.48937431580860186,0.8087499530544388,1.0852673287568193
"VILLAR, MARK (NP) [6]",1.1587302785125664,-0.2973249955414525,-0.14027616448538585,0.768514031739656
"CAYETANO, ALAN PETER (IND) [7]",0.457807170758728,-0.27110269604643056,-0.04384769743607448,1.2477661474488921
"ZUBIRI, MIGZ (IND) [8]",1.0100599836164,-0.14690962099205546,-0.055663210196927666,0.6128113527943736
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.2833907292060973,-0.46267583998897643,0.403197111955482,1.1308124896615
"EJERCITO, JV ESTRADA (NPC) [10]",0.49637374946619844,-0.2366945054432292,-0.33081580830481633,1.2189693870791856
"HONTIVEROS, RISA (AKBAYAN) [11]",-0.08411062001216157,-0.3178436037463445,1.3973880585476615,0.15400803036971877
"ESTRADA, JINGGOY (PMP) [12]",0.3977995106833938,-0.04713190793837464,-0.7834027181572181,1.4826311013311442
"BINAY, JOJO (UNA) [13]",-0.15020242353511015,-0.06926309314071702,-0.27256977420109335,1.3841358016682377
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.7371119555851638,-0.31745842436766714,-0.08194825884150074,0.6612562609870922
"TEODORO, GIBO (PRP) [15]",1.4018350588545756,-0.2938577411793813,0.06723686281842886,-0.10926101150690189
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.25782444899512946,-0.46423294521916303,0.20884290552953858,0.8430466748670401
"ROQUE, HARRY SPOX (PRP) [17]",1.2312566828480445,-0.19976316427179291,-0.2332107390094613,0.11740079615783669
"HONASAN, GRINGO (IND) [18]",0.38639745390187646,-0.18714566761561247,0.16076745732140654,0.43678466597874427
"DIOKNO, CHEL (KANP) [19]",-0.011906927311782405,-0.39601670597393507,1.4136270505874873,-0.22400422391652058
"GADON, LARRY (KBL) [20]",0.77975137710428,-0.3086483752104527,0.020140963879545927,0.2739550445900829
"TRILLANES, ANTONIO IV (LP) [21]",-0.3495760407017574,-0.14307809002728517,1.0984676528724022,0.0193186387330565
"GORDON, WOW DICK (BVNP) [22]",-0.08485407729039368,-0.12657814611490248,0.768936031948898,0.06171155491763139
"DE LIMA, LEILA (LP) [23]",-0.2862605805773882,-0.14508851891269967,1.225799403756749,-0.24699797626085587
"COLMENARES, NERI (MKBYN) [24]",0.016962354578033367,-0.24119368730486151,0.9340520713742996,-0.22430271676299302
"LACSON, KUYA ALEX (KP) [25]",-0.008706111777205518,-0.10097342326917279,0.6693374931438615,-0.141204001370816
"PANELO, SAL PANALO (PDPLBN) [26]",0.722161862671219,-0.1240085752766206,-0.07906331869437325,-0.10138227100927574
"MARCOS, FRANCIS LEO (IND) [27]",0.15445812306538692,-0.08458649186317038,-0.07047327580832943,0.3272130847256795
"BAGUILAT, TEDDY (LP) [28]",0.017852878064154774,-0.1359129488303943,0.7459198289506562,-0.27877962438046827
"DEL ROSARIO, MONSOUR (PDR) [29]",-0.015037680602814454,0.026576727435131096,0.05977498736754173,0.1920972660844118
"BALITA, CARL (AKSYON) [30]",0.05899684456232292,-0.030077847752771433,0.20328996540731986,0.04743343848685332
"PADILLA, DRA. MINGUITA (PDR) [31]",0.1885053544508385,-0.008493221658696027,0.06853031155632007,0.023009687633758654
"MARCOLETA, RODANTE (PDPLBN) [32]",0.4357122182317727,-0.07597428836533456,-0.003816512908235284,-0.05660745532085363
"PIÑOL, MANNY (NPC) [33]",0.4073546991152587,0.050427990273594195,-0.09699548866099272,-0.07436653078305767
"PIMENTEL, ASTRA (PDPLBN) [34]",0.1353398228558401,0.03883111822667021,-0.022663732687119284,0.06731633278935424
