candidate,arch_0,arch_1,arch_2,arch_3
"PADILLA, ROBIN (PDPLBN) [1]",0.03611705633032838,0.09557217350872835,0.08611486799550981,0.04671942506236826
"LEGARDA, LOREN (NPC) [2]",0.06477117370849071,0.08817735520822002,0.0739259738693349,0.13302833353930638
"TULFO, IDOL RAFFY (IND) [3]",0.0474016026292228,0.04665210272249441,0.030618088217320653,0.06507610299275418
"GATCHALIAN, WIN (NPC) [4]",0.06524698312691818,0.10610769296637025,0.08984940753519234,0.15579232984905264
"ESCUDERO, CHIZ (NPC) [5]",0.051932380893959684,0.09854589620478539,0.03019357877161366,0.11001261320791778
"VILLAR, MARK (NP) [6]",0.046811042170054294,0.10408856975849955,0.09799405493727514,0.1474133985003568
"CAYETANO, ALAN PETER (IND) [7]",0.052093460426362835,0.05929636548445335,0.056814997212014225,0.09309313816990371
"ZUBIRI, MIGZ (IND) [8]",0.03515168994506367,0.08202010564848902,0.07774760369925608,0.11508861941185648
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.0536922796190665,0.08665585015321645,0.04527303814502192,0.11334506500806124
"EJERCITO, JV ESTRADA (NPC) [10]",0.050827820093244235,0.05470664667740274,0.064035252148155,0.08435814800850228
"HONTIVEROS, RISA (AKBAYAN) [11]",0.020245722684802382,0.12618145055091845,0.03471282238949758,0.08239085082639122
"ESTRADA, JINGGOY (PMP) [12]",0.0533005676626915,0.0860186864340087,0.06373257406424326,0.052251115624249014
"BINAY, JOJO (UNA) [13]",0.048077413524450635,0.0774281591437914,0.01932521021296371,0.032411141672326976
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.03904240974097357,0.07952931798736884,0.0702763777329591,0.11285994249425726
"TEODORO, GIBO (PRP) [15]",0.0358907234903403,0.15205337226307375,0.09842649681729612,0.16367377384688217
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.04481015612151266,0.07650015656566095,0.04412442440234369,0.10116375381467467
"ROQUE, HARRY SPOX (PRP) [17]",0.032319380425730355,0.1038259033701927,0.09323274603320775,0.1309165495794829
"HONASAN, GRINGO (IND) [18]",0.02343253880956852,0.05449067174259021,0.034119860708937445,0.06875199601904265
"DIOKNO, CHEL (KANP) [19]",0.017526112129405816,0.15200388093071993,0.03240110829264179,0.09409099638486795
"GADON, LARRY (KBL) [20]",0.029611245299352492,0.09340229015795362,0.06573585127410388,0.11310255101058247
"TRILLANES, ANTONIO IV (LP) [21]",0.013538272430185894,0.07122062619816862,0.04625095683691807,0.033984124472850166
"GORDON, WOW DICK (BVNP) [22]",0.009466970107675768,0.061883425552809714,0.022303965654682137,0.03640806019111432
"DE LIMA, LEILA (LP) [23]",0.014945602382508536,0.09264427490238954,0.04847781754582808,0.03969972081448876
"COLMENARES, NERI (MKBYN) [24]",0.011391606510726692,0.10213971655256815,0.021147451473343255,0.060871162441288144
"LACSON, KUYA ALEX (KP) [25]",0.007580995603645952,0.06308106278068415,0.01771749505279851,0.033504654637250934
"PANELO, SAL PANALO (PDPLBN) [26]",0.01783645366134281,0.06907665142441427,0.05178810068907156,0.07733064010863695
"MARCOS, FRANCIS LEO (IND) [27]",0.014519840898674172,0.016930949866105938,0.01905240315313132,0.027513860138804195
"BAGUILAT, TEDDY (LP) [28]",0.01032568456959141,0.07861953994465042,0.018606200925957852,0.041250975844143244
"DEL ROSARIO, MONSOUR (PDR) [29]",0.005441367960853022,0.007440995432692891,0.002383006760435976,0.003961943213504421
"BALITA, CARL (AKSYON) [30]",0.0033866558249341936,0.020940304606066426,0.0034256093465691254,0.015977284462029676
"PADILLA, DRA. MINGUITA (PDR) [31]",0.004205607693160666,0.019680616595181392,0.010685795372908048,0.020093182842959682
"MARCOLETA, RODANTE (PDPLBN) [32]",0.010729069485946287,0.044452736728585775,0.03024219834225193,0.0480153264562782
"PIÑOL, MANNY (NPC) [33]",0.008721472591433743,0.02276798281901686,0.024850301614602274,0.027332572296532333
"PIMENTEL, ASTRA (PDPLBN) [34]",0.0024800867981983653,0.0043099964747522436,0.007910500856004138,0.007521166091988278
