candidate,arch_0,arch_1,arch_2
"VILLAR, CYNTHIA (NP) [1]",0.1839906631938234,0.06765712779191417,0.19160405199034544
"POE, GRACE (IND) [2]",0.2011732105200959,0.07290994893164439,0.28301013704264744
"GO, BONG GO (PDPLBN) [3]",0.1048364040771925,0.14274650676609363,0.0842340261836907
"CAYETANO, PIA (NP) [4]",0.18818287358943045,0.07209833289876216,0.19264570427369218
"DELA ROSA, BATO (PDPLBN) [5]",0.12151230483799867,0.14501897369898606,0.08598855892198946
"ANGARA, EDGARDO SONNY (LDP) [6]",0.17396103889338765,0.06286338660898891,0.18248543562403322
"LAPID, LITO (NPC) [7]",0.09631673136112757,0.030805375950712435,0.1296817247117119
"MARCOS, IMEE (NP) [8]",0.14251305692010832,0.10707460534221722,0.10567238923407785
"TOLENTINO, FRANCIS (PDPLBN) [9]",0.13068269515792946,0.0967536800352003,0.09763341651658314
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.017737578725725192,0.03879519756503902,0.03498301335031732
"PIMENTEL, KOKO (PDPLBN) [11]",0.10614240248490621,0.06990145485488702,0.08432995138548952
"BINAY, NANCY (UNA) [12]",0.10612618000762811,0.030338027061548863,0.12589605635805223
"EJERCITO, ESTRADA JV (NPC) [13]",0.1301986349674762,0.05317940144037326,0.12976434304512835
"AQUINO, BENIGNO BAM (LP) [14]",0.13278551895441718,0.1074745851828069,0.24036375269200044
"ESTRADA, JINGGOY (PMP) [15]",0.05653640073585391,0.03917755339956664,0.04372638976265471
"ROXAS, MAR (LP) [16]",0.07688824736746352,0.09449447986022864,0.1617585223615771
"OSMEÑA, SERGE (IND) [17]",0.11519247160577407,0.0358559900298524,0.1533655412334406
"ONG, DOC WILLIE (LAKAS) [18]",0.1457596697303211,0.04165051760982249,0.18441671770952556
"MANGUDADATU, DONG (PDPLBN) [19]",0.044148452244590186,0.09447097626213816,0.10551384761610196
"MANICAD, JIGGY (IND) [20]",0.11890948361282855,0.03355720769787847,0.14379675781811366
"DIOKNO, CHEL (LP) [21]",0.0984877346915564,0.06909433717121746,0.16990816777007045
"ENRILE, JUAN PONCE (PMP) [22]",0.0319627152231522,0.00912546927413352,0.03797021867200944
"ALEJANO, GARY (LP) [23]",0.05875533993406545,0.0627299604224955,0.11737609177603528
"COLMENARES, NERI (MKBYN) [24]",0.06964041431103131,0.04213817435818091,0.11455770188020661
"GUTOC, SAMIRA (LP) [25]",0.02671724313027792,0.05115614078588731,0.0645180767902104
"MACALINTAL, MACAROMY (IND) [26]",0.06535668310057358,0.05110638767473025,0.11692029822320923
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",0.06102441215176225,0.055136100910324386,0.11478780470066338
"GADON, LARRY (KBL) [28]",0.059553125425674786,0.017836273216599464,0.06820059604771994
"AGUILAR, FREDDIE (IND) [29]",0.005908290520865516,0.008090404630389722,0.012930174389951215
"CHONG, GLENN (KDP) [30]",0.02788722618587726,0.013122012252343333,0.02614039660818452
"MANGONDATO, FAISAL (IND) [31]",0.007976615352900182,0.013923905548844427,0.018894924479210304
"ESCUDERO, AGNES (IND) [32]",0.011902169244201585,0.00564349405725578,0.018172082720203226
