candidate,arch_0,arch_1,arch_2
"VILLAR, CYNTHIA (NP) [1]",1.3087056279276523,-0.24175956495529555,0.5703028105901605
"POE, GRACE (IND) [2]",0.6605339597717559,-0.4358302265841863,0.9982943694203553
"GO, BONG GO (PDPLBN) [3]",1.6218563225718257,0.14561104700119704,-0.18162410278252278
"CAYETANO, PIA (NP) [4]",1.236603398873087,-0.37571686674855154,0.42796993942806905
"DELA ROSA, BATO (PDPLBN) [5]",1.6466080015205014,0.024726989333266492,-0.1945704622496964
"ANGARA, EDGARDO SONNY (LDP) [6]",1.1039077162161148,-0.3514695051941291,0.42695764175063755
"LAPID, LITO (NPC) [7]",0.5026556470814061,-0.07140152288188414,0.5739746739118854
"MARCOS, IMEE (NP) [8]",1.3778707373619001,-0.19825702397332506,0.010803798868030672
"TOLENTINO, FRANCIS (PDPLBN) [9]",1.2703232962003512,-0.16665635100989662,0.03541451250432353
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.589009348924925,0.31886652047390607,0.11425964522390909
"PIMENTEL, KOKO (PDPLBN) [11]",1.011467540597519,-0.10390459582580341,0.12314465444810928
"BINAY, NANCY (UNA) [12]",0.6186917275424684,-0.15288481963971942,0.43434208397087637
"EJERCITO, ESTRADA JV (NPC) [13]",0.9038290857717658,-0.23989048007984987,0.287212327588339
"AQUINO, BENIGNO BAM (LP) [14]",-0.08258556284931111,-0.30371120549179875,1.0109079425673786
"ESTRADA, JINGGOY (PMP) [15]",0.6309118070445332,0.02505260517411328,0.1318779291517929
"ROXAS, MAR (LP) [16]",-0.26560971764987923,-0.12557001510696106,0.7877665874154934
"OSMEÑA, SERGE (IND) [17]",0.38590096382327116,-0.31509859765850007,0.4443844216359586
"ONG, DOC WILLIE (LAKAS) [18]",0.4808283798077483,-0.4857188769538317,0.4056571399209565
"MANGUDADATU, DONG (PDPLBN) [19]",0.7779845745381688,0.26401343038227926,-0.35445923228917126
"MANICAD, JIGGY (IND) [20]",0.4672193437638309,-0.3752623893614961,0.3030664075986512
"DIOKNO, CHEL (LP) [21]",-0.06589203894953405,-0.3153047933996383,0.6030660875664328
"ENRILE, JUAN PONCE (PMP) [22]",0.20585750952137855,-0.026094965440178673,0.15116218677479798
"ALEJANO, GARY (LP) [23]",-0.18890897147867516,-0.16250809832731675,0.49344022222600864
"COLMENARES, NERI (MKBYN) [24]",0.01247850870091045,-0.21809783797474008,0.393256651942796
"GUTOC, SAMIRA (LP) [25]",-0.2248802248503755,0.003637093122067019,0.3790503268299791
"MACALINTAL, MACAROMY (IND) [26]",-0.089740079078627,-0.21301070837029687,0.4246705941810657
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",-0.1387462787916468,-0.19387013200654069,0.4394649511220441
"GADON, LARRY (KBL) [28]",0.2665102848265822,-0.18606516039790819,0.12502127038693536
"AGUILAR, FREDDIE (IND) [29]",0.09752351956215936,0.07944579526503488,0.0058790137717629545
"CHONG, GLENN (KDP) [30]",0.19450486625508545,-0.06385951036516217,0.03493212667657433
"MANGONDATO, FAISAL (IND) [31]",0.12482938738133614,0.0715074607861324,-0.037770916353782075
"ESCUDERO, AGNES (IND) [32]",0.030885171324155514,-0.02149398512572832,0.0733230688956204
