candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
"VILLANUEVA, JOEL TESDAMAN (LP) [1]",0.5297484500359857,0.6019989051163012,0.381537002469224,0.8626106213350361,0.8627803447428576,0.43411586039843253
"DRILON, FRANK (LP) [2]",0.8333322816704193,0.7438247365085793,0.6420579993321968,0.6522342207006555,0.6821140982801221,0.9839640700710648
"SOTTO, VICENTE (NPC) [3]",0.5334897761233417,0.7384272475849205,0.5342242594395703,1.1249424855236292,0.9567962786424731,0.5300574118659067
"GORDON, DICK (IND) [4]",0.578563299232896,0.8014332806837223,0.4584412546406737,0.8015905642585037,1.2019295787936082,0.4953177507572408
"LACSON, PANFILO PING (IND) [5]",0.6401090075026135,0.733940910613399,0.39396957578803127,0.8906719098234321,1.0999902567099915,0.5047830727139575
"HONTIVEROS, RISA (AKBYN) [6]",0.6404947937149702,0.7116223198571621,0.3810761329516792,0.6150309839347647,0.9195447919634275,0.6080077603430257
"PANGILINAN, KIKO (LP) [7]",0.7555497701200474,0.6779464980572242,0.5935996735135505,0.7188213569576362,0.721421049448713,0.8505887782251504
"ZUBIRI, MIGZ (IND) [8]",0.5864649071767126,0.8081514669725834,0.552021114338568,0.8104906733517045,0.7119429538982581,0.6672089128992403
"GATCHALIAN, WIN (NPC) [9]",0.4684698775434359,0.5617743593115219,0.3413244751996033,0.698530944150564,0.8334991100744241,0.3818005936197131
"PACQUIAO, MANNY (UNA) [10]",0.6903057037227365,0.7653682676640156,0.6287532075994391,0.8595652493068491,0.8941294153138741,0.9027162450572627
"RECTO, RALPH (LP) [11]",0.5753628818810999,0.5617194039681657,0.46209531917121904,0.6101094537845064,0.6630306590027906,0.6754428632661671
"DE LIMA, LEILA (LP) [12]",0.8465924967418034,0.7176218373669365,0.6851386747891348,0.6773585807395109,0.7952328286439817,0.8922465985736403
"TOLENTINO, FRANCIS (IND) [13]",0.4635008880146486,0.6819154606790889,0.41731092919244306,0.5818948551267892,0.7281681170496062,0.45884640403517013
"OSMEÑA, SERGIO III (IND) [14]",0.7172633772799653,0.8700879870794465,0.46342941943660027,0.5527009052966446,0.9267627965689,0.6495894482994194
"ROMUALDEZ, MARTIN (LAKAS) [15]",0.8955218553641993,0.9647247826738662,0.9320914202743662,0.9598921901596713,0.747998813714695,0.7197410889690783
"DOMAGOSO, ISKO MORENO (PMP) [16]",0.4492274204016932,0.48037290368513497,0.31741261151671457,0.5907943709424204,0.7289569666221725,0.31682275321921505
"GUINGONA, TG (LP) [17]",0.610539616835983,0.6499684643100208,0.4640633381584673,0.439869116724131,0.5383065801571649,0.6777399066819542
"COLMENARES, NERI (MKBYN) [18]",0.35532719010406033,0.5440606948232828,0.37449829887637376,0.2756739571584314,0.5744171201481848,0.35990031051424826
"LAPID, MARK (AKSYON) [19]",0.3105194459276548,0.6262342345329664,0.5931609297961353,0.48518417258376684,0.553206863604428,0.5231849404801177
"PETILLA, CARLOS JERICHO (LP) [20]",1.034760414413002,0.7218058873112173,0.7083650964615275,0.574317894806095,0.5610844108217473,0.491572610809926
"MANZANO, EDU (IND) [21]",0.2539045725904682,0.24428270488244763,0.14782413851739673,0.2396651661039295,0.2663527366429168,0.28336571081270095
"ROMULO, ROMAN (IND) [22]",0.22189969391209635,0.3677598115962553,0.33168071485647765,0.29324358230926206,0.5099254509022806,0.2555908327231336
"OPLE, SUSAN (NP) [23]",0.15823163936573698,0.24848389773766516,0.20360199296332265,0.20137467613777169,0.3406869885465195,0.19323223201191203
"LACSAMANA, ALMA MORENO (UNA) [24]",0.1262365548339194,0.15250950471210836,0.09981311151848841,0.14119042796377482,0.14274082615562017,0.14961891689663143
"BELGICA, GRECO (IND) [25]",0.14272648603793534,0.2743937285031678,0.22309227771280643,0.1818497387632103,0.30674455474599216,0.17832230744755234
"ALUNAN, RAFFY (IND) [26]",0.15287947945849825,0.3585405459908419,0.25120338564239847,0.24270193627759482,0.2759366581361893,0.19170489726493964
"LANGIT, REY (UNA) [27]",0.08152199229062594,0.10355292059296659,0.06916965249722011,0.149036210007703,0.13563260594279408,0.06988049792717473
"GADON, LARRY (KBL) [28]",0.0779701396101267,0.08234512415886971,0.06844068910631193,0.08925622178082547,0.09191684267369515,0.10306293381100717
"KAPUNAN, ATTY. LORNA (AKSYON) [29]",0.08317615941836265,0.12609773505752475,0.09629227003919609,0.08768435060384297,0.16860447232968676,0.072280341965731
"PAGDILAO, SAMUEL (IND) [30]",0.13058472424597148,0.1769656924628626,0.2210196613362436,0.218366799642116,0.16359614489164961,0.20184617218215442
"SANTIAGO, DIONISIO (IND) [31]",0.09043565162340482,0.14200706055652904,0.10998766200496346,0.15048531730281398,0.1262488929120235,0.09978235245642837
"NAPEÑAS, GETULIO (UNA) [32]",0.10976464178682904,0.12267440727419818,0.08889499335867976,0.1298395712374836,0.1220923696983838,0.11387797271462494
"CHAVEZ, MEL (WPPPMM) [33]",0.12278068252093721,0.111715061205575,0.09121229894159352,0.11199249511085169,0.119030323172057,0.14630284435127677
"MONTANO, ALLAN (UNA) [34]",0.11089867282588785,0.10841924416846795,0.09853116304130027,0.12054950548732608,0.13577531616471558,0.1394142164885044
"AMBOLODTO, INA (LP) [35]",0.16296683658331174,0.16095843046518643,0.1785448192040079,0.2088886185170951,0.22804509980211668,0.19907599729873185
"BELLO, WALDEN (IND) [36]",0.04891738281506522,0.08365994212088056,0.06768056467074184,0.0860296122408241,0.07360395698876598,0.05610254554570592
"PALPARAN, JOVITO JR. (IND) [37]",0.042981019165579226,0.04470001245032743,0.02543548018298782,0.040347504513051316,0.05169596475344026,0.03158620188459584
"KIRAM, PRINCESS JACEL (UNA) [38]",0.05046897844204955,0.05175963411666505,0.07789588028898382,0.10051108516105321,0.0941402222096097,0.06948304164403028
"CAM, SANDRA (PMP) [39]",0.04856029222943793,0.09275809525030053,0.07787058923895827,0.09672505652229067,0.0756583254511675,0.06103647146388351
"LIBAN, DANTE (IND) [40]",0.044582841852775786,0.0710570323523602,0.05954835676088513,0.059185809954868954,0.08053024883497947,0.04427019799842937
"PAEZ, MR. COOP (IND) [41]",0.09728989740528403,0.07103912808386559,0.06358084858266136,0.06463546000341405,0.059131610174881,0.10060387211761243
"MAGANTO, ROMEO (LAKAS) [42]",0.03010700270396173,0.03322230887932871,0.018028003996985294,0.034591636100662244,0.033969564428878114,0.030168030895563476
"ALBANI, SHARIFF (IND) [43]",0.07172067204638348,0.07374033663460179,0.10686994684511507,0.128650045452292,0.13298873841419218,0.09944201280475796
"MONTAÑO, MON (IND) [44]",0.05936252792197325,0.052823301562197125,0.051010520709952226,0.06364546715446898,0.06598489904963907,0.0730170330900778
"ARQUIZA, GODOFREDO (IND) [45]",0.05795040288809067,0.050501402734869305,0.045079145911825894,0.05568383144696459,0.05777522761555524,0.06894397609486766
"ALI, ALDIN (WPPPMM) [46]",0.05799749800356162,0.06060965763829364,0.08889633332602119,0.11180286976195006,0.11612416027035538,0.07475140697640917
