candidate,arch_0,arch_1,arch_2
"GO, BONG GO (PDPLBN) [1]",0.05276002570437961,0.06970136374088307,0.210587848453412
"AQUINO, BAM (KNP) [2]",0.11389389844902377,0.2044776235010759,0.135648841602104
"DELA ROSA, BATO (PDPLBN) [3]",0.08253181826576625,0.11965502658573429,0.21322663704945258
"TULFO, ERWIN (LAKAS) [4]",0.04640823199013547,0.0763147927461647,0.021208457805900475
"PANGILINAN, KIKO (LP) [5]",0.0896399658790698,0.15920034519336218,0.08784147768799594
"LACSON, PING (IND) [6]",0.07405140266242902,0.13077498414794672,0.06448668826384052
"MARCOLETA, RODANTE (IND) [7]",0.032888242007209904,0.03753581524612275,0.19604646551935023
"SOTTO, TITO (NPC) [8]",0.06845140780488444,0.11916502158317822,0.040830735263587985
"CAYETANO, PIA (NP) [9]",0.05185848521751259,0.0930097493042976,0.060742669408642154
"VILLAR, CAMILLE (NP) [10]",0.0094655110843628,0.0122105507078979,0.041002936582163224
"LAPID, LITO (NPC) [11]",0.016911953239180214,0.023456294038144657,0.05531530991481012
"MARCOS, IMEE R. (NP) [12]",0.018103933622413963,0.0341502823636456,0.03954483732319382
"TULFO, BEN BITAG (IND) [13]",0.0346704742289991,0.057578721357026526,0.009668701068937616
"BONG REVILLA,RAMON, JR.(LAKAS) [14]",0.018334277735716328,0.028081571136514414,0.030966892931763492
"BINAY, ABBY (NPC) [15]",0.042230984327242135,0.07184440366765164,0.006923614685048054
"ABALOS, BENHUR (PFP) [16]",0.053019202271538945,0.09134584883830481,0.021215945338727477
"BONDOC, JIMMY (PDPLBN) [17]",0.06658548211777005,0.09697314276396847,0.16724821610592805
"PACQUIAO, MANNY PACMAN (PFP) [18]",0.011302196858867164,0.01700803549245983,0.022399912830436332
"SALVADOR, PHILLIP IPE (PDPLBN) [19]",0.07519665196196375,0.1171369494410266,0.1055637106812051
"BOSITA, COLONEL (IND) [20]",0.05744102674570079,0.10421484753501509,0.08029946595525746
"MENDOZA, HEIDI (IND) [21]",0.07270456283792809,0.13226172092831087,0.10550471028685716
"REVILLAME, WILLIE WIL (IND) [22]",0.00290329414602307,0.006351128263665682,0.015881950231058286
"RODRIGUEZ, ATTY. VIC (IND) [23]",0.040045446858591245,0.054484273125316444,0.14254729789910378
"LAMBINO, RAUL (PDPLBN) [24]",0.05955422553619333,0.0877848529501113,0.13808816776196367
"TOLENTINO, FRANCIS TOL (PFP) [25]",0.03407453212874882,0.0614826817977044,0.04393962913990198
"ONG, DOC WILLIE (AKSYON) [26]",0.03349910966645547,0.0625782769796445,0.0664871466365648
"HINLO, JAYVEE (PDPLBN) [27]",0.05938542464059302,0.08828217204922562,0.12954043886244843
"HONASAN, GRINGO (RP) [28]",0.014759185175407369,0.03173332740418355,0.07470329569619057
"ESPIRITU, LUKE (PLM) [29]",0.05525196297121055,0.100582257691623,0.08093952928152592
"MATA, DOC MARITES (IND) [30]",0.03691489980869482,0.052415197492459126,0.10744632410044054
"QUIBOLOY, APOLLO (IND) [31]",0.049603886475567974,0.07467418237270548,0.09800315336822353
"CASIÑO, TEDDY (MKBYN) [32]",0.04316191182883493,0.07915221112386414,0.06954843422214295
"BROSAS, ARLENE (MKBYN) [33]",0.03945683892537596,0.07223040971194347,0.06218917281455971
"DE GUZMAN, KA LEODY (PLM) [34]",0.03475516893965748,0.06355312473213344,0.05401119546539057
"RAMOS, DANILO (MKBYN) [35]",0.03309102527169881,0.060531022621250694,0.051653612980927584
"MAZA, LIZA (MKBYN) [36]",0.03525624168632874,0.06452451120389241,0.055391571964625935
"QUERUBIN, ARIEL PORFIRIO (NP) [37]",0.007550742045116354,0.017397835384142628,0.050903103533362554
"MATULA, ATTY. SONNY (WPP) [38]",0.03285344432084566,0.06048109708928494,0.05548109611445533
"ARAMBULO, RONNEL (MKBYN) [39]",0.03262663393639743,0.05957549693054042,0.04977125576183453
"CASTRO, TEACHER FRANCE (MKBYN) [40]",0.03026750204436173,0.05523969696815011,0.045865985438043155
"DE ALBAN,ATTORNEY ANGELO (IND) [41]",0.017127918277942526,0.03180484068961283,0.03190892803535313
"BALLON, ROBERTO (IND) [42]",0.016213468195249624,0.02970398451894822,0.025809014649835954
