candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,arch_6
"PADILLA, ROBIN (PDPLBN) [1]",0.8871887636857322,1.7692773971019227,1.0291053099180685,1.2366714814822712,1.0789816629504438,1.098566518881201,0.9373612012476528
"LEGARDA, LOREN (NPC) [2]",0.5491411658976425,0.7086371932585181,0.7071775476072393,0.6015132221529976,0.6651120963502944,0.37390060180808177,0.6803196985722733
"TULFO, IDOL RAFFY (IND) [3]",0.8276190173159771,1.244775823871869,1.203675704111994,0.9267544914272211,0.6359516952251814,0.9042205295432028,0.9937037789063591
"GATCHALIAN, WIN (NPC) [4]",0.7749359530260514,0.6452052847529042,0.7867760646735653,0.5673770104985357,0.793655092429409,0.5850511594319006,0.6710721856329367
"ESCUDERO, CHIZ (NPC) [5]",0.7685547731205349,1.0610990832602374,0.8277785175907206,0.7511822991529369,0.6563804893487238,0.37765399530652294,0.5965567077048618
"VILLAR, MARK (NP) [6]",0.795013845858523,0.7232626075014043,0.7113890035395766,0.5241160765229766,0.5462100761262183,0.5243589181682805,0.5948514188843421
"CAYETANO, ALAN PETER (IND) [7]",0.4747374453270055,0.5548532215992624,0.6582536972034239,0.48322087335158254,0.5631856174338842,0.3387606130270116,0.4953056260735687
"ZUBIRI, MIGZ (IND) [8]",0.88655574771931,0.9908630110224236,1.186269045134315,0.7917605878419064,0.9008346885781169,0.9206040521943573,1.0045347722258515
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.5642207641254698,0.8135799032464529,0.6391461310734087,0.629042219421884,0.6824998546434558,0.5816161957128705,0.5567465837982172
"EJERCITO, JV ESTRADA (NPC) [10]",0.5014237155444424,0.5161006596148197,0.7494988531441219,0.3901994926721302,0.6679576703563697,0.5321784773585745,0.43104925963801716
"HONTIVEROS, RISA (AKBAYAN) [11]",0.7887451676533995,1.0668782339120944,1.014703205117601,0.7133388565339245,0.5442530017832988,0.3259529824088384,0.48525187840457595
"ESTRADA, JINGGOY (PMP) [12]",0.45490214133232104,0.7465858908321271,0.8878125450721717,0.6019233025269802,0.7744366415225268,0.47807781811154093,0.5991410775591973
"BINAY, JOJO (UNA) [13]",0.500505103568227,0.6181981535948059,0.7670956486506973,0.459604178710031,0.8569787182489331,0.5712255538172577,0.4844676221165665
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.6858711305750196,0.6341767984508565,0.7152867585783887,0.529416164626456,0.6754471469774529,0.4962323630483277,0.5219253263687998
"TEODORO, GIBO (PRP) [15]",1.1337479392287186,0.864888214605649,0.6798949892508966,0.7455343747061464,0.5342751644662576,0.5954709769190583,0.7969630308814897
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.7312055935642832,0.7648978886342067,0.8136947734096712,0.4969838123336885,0.8457808073652445,0.5448692534188472,0.6420127330335255
"ROQUE, HARRY SPOX (PRP) [17]",0.7640689421453418,0.5468179925372979,0.5269328208291982,0.4478980718719754,0.3779202147487434,0.3880301999503813,0.4189797760855194
"HONASAN, GRINGO (IND) [18]",0.29222376295948377,0.4443025794223116,0.40692034417433787,0.3492867824216507,0.23694032362960457,0.32539274354530123,0.32412660475347976
"DIOKNO, CHEL (KANP) [19]",0.7510293012225561,0.8927317365508712,1.1532049143562892,0.614989698902357,0.5036192899839895,0.4463475199574486,0.6172193237707315
"GADON, LARRY (KBL) [20]",0.5038379598157297,0.4693553350431033,0.622987545225263,0.4711944635279371,0.3456324355901577,0.46517077504458443,0.45933703648657526
"TRILLANES, ANTONIO IV (LP) [21]",0.7371002620936987,0.8445788426508948,0.8607847796340987,0.5049863395947506,0.45114875802714316,0.32195642240138916,0.2988584300590225
"GORDON, WOW DICK (BVNP) [22]",0.4694180912172444,0.5367602165850324,0.5972816903103506,0.3767052502857102,0.3389543617814737,0.20484822274777176,0.2744107323396742
"DE LIMA, LEILA (LP) [23]",0.6823669706850561,0.7504367146649332,0.9806076222877315,0.492247266948269,0.4740816817820397,0.3785736449558353,0.4000908890104541
"COLMENARES, NERI (MKBYN) [24]",0.46892999884440734,0.562635812887841,0.7484441940329142,0.40889679680347185,0.3397067832595789,0.2849496807433982,0.40125455631725976
"LACSON, KUYA ALEX (KP) [25]",0.3533692565771246,0.38956890668606775,0.5399061943173397,0.2605570813570394,0.2748283657299318,0.24198668533636383,0.267154999211501
"PANELO, SAL PANALO (PDPLBN) [26]",0.5264592248252111,0.4789570444290012,0.35351614939734743,0.32427441430689846,0.3252807757648442,0.26937850157327636,0.3884735449120731
"MARCOS, FRANCIS LEO (IND) [27]",0.17745705701763384,0.28267539823895527,0.34890686030687507,0.24862727685378447,0.18525188148755004,0.2499735969198845,0.2745456245330226
"BAGUILAT, TEDDY (LP) [28]",0.40468578618355605,0.46710874911586087,0.6669413021917222,0.2918751623228009,0.33456360726044876,0.33820123932497825,0.34187667186629583
"DEL ROSARIO, MONSOUR (PDR) [29]",0.15199786295569576,0.1904518036022799,0.17286389091326376,0.14254387214104436,0.09672564995884853,0.13045086429815064,0.15202212909218113
"BALITA, CARL (AKSYON) [30]",0.1410984042003272,0.189147867757682,0.19404647368550948,0.10905308302700639,0.11151863034877899,0.12125965372291414,0.1143287402280382
"PADILLA, DRA. MINGUITA (PDR) [31]",0.11183386574318267,0.10598964052447143,0.14661342471478012,0.09827040850377797,0.12779888557864497,0.13026759281994887,0.11770612245731908
"PIÑOL, MANNY (NPC) [32]",0.36744725416283125,0.496156109014104,0.4872402206671998,0.33750708037975213,0.3755524090903133,0.4241256196384403,0.4264446192819594
