candidate,arch_0,arch_1,arch_2,arch_3
"VILLANUEVA, JOEL TESDAMAN (LP) [1]",0.21863791613383304,0.1799489425295719,0.3913969297238347,0.6160340900251824
"DRILON, FRANK (LP) [2]",0.15786626081243418,0.18654283266901928,0.3138499238796385,0.4072732069444893
"SOTTO, VICENTE (NPC) [3]",0.30093841448134373,0.30984759957452856,0.48888290616911884,0.7839263729556487
"GORDON, DICK (IND) [4]",0.2538380851307658,0.13322118181261,0.5244693529901043,0.6574200022431012
"LACSON, PANFILO PING (IND) [5]",0.252098331798151,0.1075392309121271,0.49065441089813716,0.6964711900667202
"HONTIVEROS, RISA (AKBYN) [6]",0.1672230677054346,0.1268538282219917,0.4068249541958879,0.5227346493455267
"PANGILINAN, KIKO (LP) [7]",0.16694847431246718,0.20639101389263567,0.32257773560853414,0.4709932785075441
"ZUBIRI, MIGZ (IND) [8]",0.0964434088348891,0.3066570585593312,0.39811694508893697,0.2806448858613994
"GATCHALIAN, WIN (NPC) [9]",0.2034689493154184,0.07506498660573471,0.37776504427664975,0.5239435650596705
"PACQUIAO, MANNY (UNA) [10]",0.08550599066220085,0.060691347682494894,0.1896342616650753,0.2654632900502018
"RECTO, RALPH (LP) [11]",0.14756201464506138,0.15545423100847322,0.30229603061143306,0.44507960824501563
"DE LIMA, LEILA (LP) [12]",0.14565348360636107,0.17336373963021706,0.28374306695030665,0.3699109799795846
"TOLENTINO, FRANCIS (IND) [13]",0.13206572068249153,0.2332846508780821,0.3862168475601971,0.33036213716652874
"OSMEÑA, SERGIO III (IND) [14]",0.1333896842829258,0.2431695835622875,0.44233390349682516,0.42703449304856445
"ROMUALDEZ, MARTIN (LAKAS) [15]",0.1273141989171927,0.10646063252557661,0.17951824073469125,0.1679172700396111
"DOMAGOSO, ISKO MORENO (PMP) [16]",0.15113339755373667,0.074417375894318,0.29785534106657763,0.4305524990191096
"GUINGONA, TG (LP) [17]",0.09562278414123551,0.18220486498535,0.2593757155651301,0.23403814838117287
"COLMENARES, NERI (MKBYN) [18]",0.058586924940253755,0.16715465312388086,0.23368667538389848,0.18089813261437043
"LAPID, MARK (AKSYON) [19]",0.10080075368312401,0.2789445939617608,0.239903391791987,0.21143070675449346
"PETILLA, CARLOS JERICHO (LP) [20]",0.11747579068183903,0.08013590810609279,0.14895783916360109,0.21041562584309342
"MANZANO, EDU (IND) [21]",0.051032489453303694,0.043501958655960314,0.12058024969759032,0.1612981901515735
"ROMULO, ROMAN (IND) [22]",0.08369712386051364,0.09935063781005644,0.18353709360830883,0.1681874833877119
"OPLE, SUSAN (NP) [23]",0.06136724546587669,0.05969043323137803,0.12108395934578074,0.11833520011600993
"LACSAMANA, ALMA MORENO (UNA) [24]",0.023866628711082496,0.03125366669114193,0.04402760472602844,0.06974314073058195
"BELGICA, GRECO (IND) [25]",0.056408884288107995,0.09881063204694766,0.13692650409697052,0.09490586564280686
"ALUNAN, RAFFY (IND) [26]",0.04741076609657989,0.1543598606221543,0.1589057264449105,0.07885087620404556
"LANGIT, REY (UNA) [27]",0.038901242122922515,0.031180906321411864,0.0640078117439267,0.10132552560838347
"GADON, LARRY (KBL) [28]",0.016883532689164583,0.017027293063119207,0.03398263366435325,0.05132829794618634
"KAPUNAN, ATTY. LORNA (AKSYON) [29]",0.024098500891109365,0.032593648351709296,0.0645445823716395,0.06266424394078249
"PAGDILAO, SAMUEL (IND) [30]",0.04397832928856327,0.0794936953350248,0.0822526364512184,0.03472778356775051
"SANTIAGO, DIONISIO (IND) [31]",0.01907603596685497,0.06603010118533495,0.07280994987423245,0.039936085299717976
"NAPEÑAS, GETULIO (UNA) [32]",0.018000629381443017,0.009818454074737564,0.036122182429945776,0.04438700727068989
"CHAVEZ, MEL (WPPPMM) [33]",0.016105899334711855,0.019512649792486392,0.027917518913867397,0.03340958648549319
"MONTANO, ALLAN (UNA) [34]",0.013897969215166513,0.014819887211200583,0.016716376850035578,0.015065536311119471
"AMBOLODTO, INA (LP) [35]",0.06638102725523727,0.03811102590313542,0.09053061099342635,0.11070421023412684
"BELLO, WALDEN (IND) [36]",0.01247034337713756,0.03981216601246498,0.04344542518151093,0.022700002578968554
"PALPARAN, JOVITO JR. (IND) [37]",0.009089029663654496,0.008866887930719517,0.023091255404922986,0.025835584311113803
"KIRAM, PRINCESS JACEL (UNA) [38]",0.008222481162373752,0.014861834035449214,0.014622606364028472,0.020331476812225694
"CAM, SANDRA (PMP) [39]",0.014254550483354778,0.04619383635963976,0.047307525000572656,0.023365723953076678
"LIBAN, DANTE (IND) [40]",0.015826049779858097,0.026159929519956025,0.03934376071277989,0.030149504214163816
