candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,arch_6
"GO, BONG GO (PDPLBN) [1]",0.9266138124084395,1.7904278028794576,2.7068575055603463,0.6855114980972331,-0.45021377384207534,-0.3596715444170904,-1.6350751082463393
"AQUINO, BAM (KNP) [2]",-0.013124744645363295,-0.9308516908838871,1.3285960392401617,0.40758721051676233,2.907712040970685,-0.5003528267003488,-0.8716811180511341
"DELA ROSA, BATO (PDPLBN) [3]",-0.28945443687997013,2.3046978642879985,2.602114176873601,0.23240516265599634,-0.6585874674656443,-0.40661628134472155,-1.0822672779569527
"TULFO, ERWIN (LAKAS) [4]",0.8407847142517337,-0.7136410183617372,-0.3232958533965573,0.7870777724001475,0.020262792920669792,2.03494224594951,-0.6651893527526113
"PANGILINAN, KIKO (LP) [5]",0.6148040439456285,-0.5550918390785154,-0.2054203309808588,0.9974610696050606,2.2191167138286882,-0.6319912446702597,-0.7787418439971115
"LACSON, PING (IND) [6]",1.4332809079521687,-0.3944265807203201,-0.030496022841315015,0.05504443424907895,0.7334790588769745,1.1270214145776185,-1.0122033164285498
"MARCOLETA, RODANTE (IND) [7]",0.35995548816878165,1.6813657372701354,2.267473448125714,-0.8474246928447461,-0.3749381501348698,0.09307220625727583,-1.0332818028571022
"SOTTO, TITO (NPC) [8]",0.365390526635329,-0.608917241624631,0.20987221920115323,-0.08532264916014512,0.6741736755119548,1.7881081360411548,-0.6643952989444852
"CAYETANO, PIA (NP) [9]",1.2552730634111817,-0.6796700408483493,1.1608427984503906,0.43599902400831847,0.547461436733941,0.5040455231592955,-1.2049904998406396
"VILLAR, CAMILLE (NP) [10]",1.407875014622236,-0.06322276592702133,1.4520618457918346,0.8528179001917673,-0.40152677288660393,-0.1005806130882879,-1.0808600610526995
"LAPID, LITO (NPC) [11]",0.5140183604267627,-0.9773033647171896,-0.10823372292703355,1.9968371839941192,0.07213186087294862,0.6874580463300519,-0.6343324076867712
"MARCOS, IMEE R. (NP) [12]",2.25741742465023,0.11350035901726585,1.4931422784282609,-1.4795780103284146,-0.891743803249781,1.3864779952839743,-0.6880197148495338
"TULFO, BEN BITAG (IND) [13]",-0.416311150349981,-0.401480570206613,-0.29655716917832936,0.24806819658978604,0.276356470364348,1.8206650552351475,-0.0859860609675487
"BONG REVILLA,RAMON, JR.(LAKAS) [14]",1.1839993938023372,-0.9054386021346439,1.1016933053960125,0.44732017990573764,-0.4652531608417986,1.1145678240881565,-0.7204590399396109
"BINAY, ABBY (NPC) [15]",1.5272011916325143,-0.38023454017135344,-0.4399325006775204,0.7052986953242356,0.26638752941757393,0.5924276801331912,-0.7357551155449622
"ABALOS, BENHUR (PFP) [16]",2.220726137642566,-0.41160652346010695,0.06942750633200226,-0.12567336286910938,0.10458022102199395,0.726476346907356,-0.8535065006874598
"BONDOC, JIMMY (PDPLBN) [17]",-0.058797089652961834,2.348707214841788,0.35315259820165706,0.48659421121729474,-0.44504029640871584,-0.6874501904071247,-0.7144477113659571
"PACQUIAO, MANNY PACMAN (PFP) [18]",-0.2266233892946228,-0.44919487007793457,0.18040258766140732,0.6943076018849206,0.0543162506194768,1.0142429978029737,-0.1613699915011197
"SALVADOR, PHILLIP IPE (PDPLBN) [19]",-0.3130646504457449,1.8661513497736908,0.3496604961093757,0.904979595368603,-0.6945183224247953,-0.437715293116498,-0.4843749504592787
"BOSITA, COLONEL (IND) [20]",-0.20737591055808388,0.14368953686029706,-0.25690246877993506,-0.6141531757084372,0.9165543652652468,1.2341367152874425,-0.29281689383844617
"MENDOZA, HEIDI (IND) [21]",0.0892227406533078,0.11321862662698746,-0.26598813547443945,-0.4042495545730292,1.7559187728564223,-0.16712304433032396,-0.289572701719797
"REVILLAME, WILLIE WIL (IND) [22]",-0.500677299032498,-0.14441904233178543,-0.032456228931344214,0.7633415754023132,-0.06616876241536565,0.8872878502159338,-0.07953547020539103
"RODRIGUEZ, ATTY. VIC (IND) [23]",0.14803294207203527,1.7981312581093263,0.3260311558922939,0.09241902476786075,-0.24032906374642482,-0.4323014917939267,-0.6311010191419428
"LAMBINO, RAUL (PDPLBN) [24]",-0.025485434398300838,2.046529695097424,0.1531698190309573,0.4356788836649846,-0.48537883236724705,-0.5145578595347964,-0.6019765719320214
"TOLENTINO, FRANCIS TOL (PFP) [25]",1.650434835758926,-0.2819908484531565,0.5348380375911101,0.14053645008905474,0.1926759438889528,-0.026203671571361244,-0.9249218741723663
"ONG, DOC WILLIE (AKSYON) [26]",-0.2055157221819966,0.16362340255452704,-0.10478176200530057,-0.061622360040020856,0.6729139291613937,0.6020419184911914,-0.35572263087474554
"HINLO, JAYVEE (PDPLBN) [27]",-0.08215566506033038,1.9628378241769542,0.06827409452355591,0.5489362846162531,-0.44397451868253307,-0.6063930563826587,-0.5634921690596222
"HONASAN, GRINGO (RP) [28]",0.06537045902192669,0.5050460678317747,0.01864203199112939,-0.15498832503217588,0.2989065751262336,0.414951409216132,-0.4037311323085933
"ESPIRITU, LUKE (PLM) [29]",0.05205305991656235,0.05054746734244121,-0.16701954118556459,-0.22234967992886429,1.3788645680891205,-0.23072188659577936,-0.24908049320560052
"MATA, DOC MARITES (IND) [30]",-0.08654018928924544,1.5239975621150434,-0.13736531576671623,0.3372815590842866,-0.21919088443308268,-0.3168692219563566,-0.4573712198750958
"QUIBOLOY, APOLLO (IND) [31]",0.015752173837782622,1.5749132813744706,0.04973994434095887,0.3795986701817223,-0.45471138464583005,-0.442625066398721,-0.42417831577106263
"CASIÑO, TEDDY (MKBYN) [32]",0.02902373165260149,0.0951522686429084,-0.13068900775698006,-0.2609127294676535,1.0343883302448358,-0.0968570788101384,-0.23310913502935016
"BROSAS, ARLENE (MKBYN) [33]",0.013354506676715732,0.0786648007183985,-0.12456893297479904,-0.23284720080078217,0.9468229549721561,-0.07611290623858621,-0.20071435317504874
"DE GUZMAN, KA LEODY (PLM) [34]",-0.0014590547041961792,0.06700882553331496,-0.11738730226173065,-0.17805167198604224,0.8485438397414008,-0.06757671455325498,-0.16686289246224306
"RAMOS, DANILO (MKBYN) [35]",-0.022150726785282085,0.06440646573407811,-0.09235912972583404,-0.1998003945086892,0.7824738226660276,0.01053974269596774,-0.1616969176411286
"MAZA, LIZA (MKBYN) [36]",0.00037972641391088245,0.06852340204804411,-0.10932825877850241,-0.20855504752535714,0.8460865018885144,-0.056889411865709914,-0.17620833602027836
