candidate,arch_0,arch_1
"VILLANUEVA, JOEL TESDAMAN (LP) [1]",7.00934133340971e-17,8.97195690676443e-16
"DRILON, FRANK (LP) [2]",0.0,1.0093451520109981e-15
"SOTTO, VICENTE (NPC) [3]",7.00934133340971e-17,6.728967680073322e-16
"GORDON, DICK (IND) [4]",1.401868266681942e-16,6.728967680073322e-16
"LACSON, PANFILO PING (IND) [5]",8.411209600091652e-17,2.2429892266911074e-16
"HONTIVEROS, RISA (AKBYN) [6]",2.102802400022913e-17,8.97195690676443e-16
"PANGILINAN, KIKO (LP) [7]",5.607473066727768e-17,1.1214946133455537e-16
"ZUBIRI, MIGZ (IND) [8]",1.1214946133455537e-16,6.728967680073322e-16
"GATCHALIAN, WIN (NPC) [9]",0.0,6.728967680073322e-16
"PACQUIAO, MANNY (UNA) [10]",2.2429892266911074e-16,0.0
"RECTO, RALPH (LP) [11]",0.0,6.728967680073322e-16
"DE LIMA, LEILA (LP) [12]",0.0,2.2429892266911074e-16
"TOLENTINO, FRANCIS (IND) [13]",2.803736533363884e-17,0.0
"OSMEÑA, SERGIO III (IND) [14]",9.813077866773594e-17,6.728967680073322e-16
"ROMUALDEZ, MARTIN (LAKAS) [15]",4.485978453382215e-16,5.607473066727768e-16
"DOMAGOSO, ISKO MORENO (PMP) [16]",3.504670666704855e-17,8.97195690676443e-16
"GUINGONA, TG (LP) [17]",1.401868266681942e-16,3.364483840036661e-16
"COLMENARES, NERI (MKBYN) [18]",0.0,2.2429892266911074e-16
"LAPID, MARK (AKSYON) [19]",1.1214946133455537e-16,1.1214946133455537e-16
"PETILLA, CARLOS JERICHO (LP) [20]",2.803736533363884e-16,1.6822419200183304e-16
"MANZANO, EDU (IND) [21]",7.885509000085923e-18,3.925231146709438e-16
"ROMULO, ROMAN (IND) [22]",4.205604800045826e-17,1.6822419200183304e-16
"OPLE, SUSAN (NP) [23]",7.00934133340971e-18,2.803736533363884e-17
"LACSAMANA, ALMA MORENO (UNA) [24]",0.0,8.411209600091652e-17
"BELGICA, GRECO (IND) [25]",2.102802400022913e-17,1.401868266681942e-16
"ALUNAN, RAFFY (IND) [26]",0.0,9.813077866773594e-17
"LANGIT, REY (UNA) [27]",2.102802400022913e-17,9.813077866773594e-17
"GADON, LARRY (KBL) [28]",0.0,1.401868266681942e-17
"KAPUNAN, ATTY. LORNA (AKSYON) [29]",8.761676666762137e-18,2.803736533363884e-17
"PAGDILAO, SAMUEL (IND) [30]",2.102802400022913e-17,0.0
"SANTIAGO, DIONISIO (IND) [31]",7.00934133340971e-18,1.401868266681942e-17
"NAPEÑAS, GETULIO (UNA) [32]",1.7523353333524274e-17,1.401868266681942e-17
"CHAVEZ, MEL (WPPPMM) [33]",1.401868266681942e-17,0.0
"MONTANO, ALLAN (UNA) [34]",4.205604800045826e-17,2.803736533363884e-17
"AMBOLODTO, INA (LP) [35]",5.607473066727768e-17,5.2570060000572825e-18
"BELLO, WALDEN (IND) [36]",7.00934133340971e-18,0.0
"PALPARAN, JOVITO JR. (IND) [37]",0.0,1.401868266681942e-17
"KIRAM, PRINCESS JACEL (UNA) [38]",3.504670666704855e-17,2.4532694666933986e-17
"CAM, SANDRA (PMP) [39]",7.00934133340971e-18,2.102802400022913e-17
"LIBAN, DANTE (IND) [40]",1.7523353333524276e-18,0.0
"PAEZ, MR. COOP (IND) [41]",2.102802400022913e-17,4.205604800045826e-17
"MAGANTO, ROMEO (LAKAS) [42]",8.761676666762138e-19,2.102802400022913e-17
"ALBANI, SHARIFF (IND) [43]",6.308407200068738e-17,1.0514012000114565e-17
"MONTAÑO, MON (IND) [44]",2.102802400022913e-17,2.102802400022913e-17
"ARQUIZA, GODOFREDO (IND) [45]",1.0514012000114565e-17,2.803736533363884e-17
"ALI, ALDIN (WPPPMM) [46]",3.504670666704855e-17,8.761676666762137e-18
"BALIGOD, LEVITO (IND) [47]",7.00934133340971e-18,2.102802400022913e-17
"VALEROSO, DIOSDADO (IND) [48]",7.00934133340971e-18,7.00934133340971e-18
"DORONA, RAY (IND) [49]",3.504670666704855e-18,1.7523353333524274e-17
"KABALU, EID (IND) [50]",1.7523353333524274e-17,7.00934133340971e-18
