candidate,arch_0,arch_1,arch_2,arch_3,arch_4
"VILLAR, CYNTHIA (NP) [1]",0.7885941241082172,1.2166701471207348,0.8029157735950683,-1.2903614893351354,1.189300318374635
"POE, GRACE (IND) [2]",-0.4987146857747694,0.906561166493365,1.6038768201221614,-0.47287520780048575,0.6197661065692117
"GO, BONG GO (PDPLBN) [3]",2.325588688585469,0.6611427913312409,-0.4219122308660849,-1.6313910655997497,1.5371506577202838
"CAYETANO, PIA (NP) [4]",0.9031993198334118,0.8274219267411171,0.7216353269037729,-1.4535888552723846,1.1417197268438928
"DELA ROSA, BATO (PDPLBN) [5]",2.259576284497145,0.5621173924586031,-0.37893002492185124,-1.7551398140418115,1.6008798584000599
"ANGARA, EDGARDO SONNY (LDP) [6]",0.9040342368610286,0.7163026250970137,0.7479708366567142,-1.351411145333398,0.971355412180298
"LAPID, LITO (NPC) [7]",-0.42578248602810637,1.7319675253989661,0.5948934005689019,-0.4881907468153796,0.2610206028931492
"MARCOS, IMEE (NP) [8]",-0.6226582798413054,0.44357724049658465,-0.28418310527162643,-0.2581668413883745,2.285367706691677
"TOLENTINO, FRANCIS (PDPLBN) [9]",1.5850677631779568,0.3970136761704514,0.10499741359128312,-1.472325413339909,1.2122040545261956
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.27393080519112323,2.0665712375882346,-0.3588681000489101,-0.6202623289684649,0.22338597869339194
"PIMENTEL, KOKO (PDPLBN) [11]",1.4931675034732887,0.26007986876135497,0.27481425977387725,-1.1901764942008464,0.8779898042806771
"BINAY, NANCY (UNA) [12]",-0.43730633881288217,1.2290774270721097,0.4556726563810157,-0.44190415670832217,0.6286572374875928
"EJERCITO, ESTRADA JV (NPC) [13]",0.4923696997575714,0.847904107883456,0.4015954875184227,-1.035296746455845,0.8382463974682248
"AQUINO, BENIGNO BAM (LP) [14]",-0.11085928382819699,0.24335033205886888,1.849564915371683,-0.10548629399230752,-0.4849093008387367
"ESTRADA, JINGGOY (PMP) [15]",0.16071900988530147,1.6462020318578043,-0.13191154504552796,-0.8376079776359282,0.3800165988808932
"ROXAS, MAR (LP) [16]",-0.0410326584813005,0.3317480425980172,1.4026302691118764,0.02041944924975922,-0.736113403992725
"OSMEÑA, SERGE (IND) [17]",0.2621864271057962,-0.08326161567671275,0.9120998635221005,-0.4681759969494652,0.34974824065606325
"ONG, DOC WILLIE (LAKAS) [18]",-0.12297351063513895,-0.8071152944765994,0.9738640965700749,-0.19589841695400217,0.8630089584218625
"MANGUDADATU, DONG (PDPLBN) [19]",1.9382052811496946,0.04542418651195161,-0.5942979017794809,-0.9292396997149314,0.6088427653664885
"MANICAD, JIGGY (IND) [20]",-0.13557593445568358,-0.3302476978477802,0.6657510399751112,-0.28146606808218344,0.7416428314484589
"DIOKNO, CHEL (LP) [21]",-0.12791867111526362,-0.5992485342095066,1.2843732292669992,0.11345433479409994,-0.0813261244473013
"ENRILE, JUAN PONCE (PMP) [22]",-0.16943371850529243,0.44362502923265384,0.14076019623048858,-0.10503375176914813,0.21423154922940527
"ALEJANO, GARY (LP) [23]",-0.056238420445372875,-0.3271645453430579,1.0059930551405174,0.1531085400556183,-0.3304693514534281
"COLMENARES, NERI (MKBYN) [24]",-0.09759869344596106,-0.423623482781493,0.8373370004162136,0.07422567974152185,0.05031059564921883
"GUTOC, SAMIRA (LP) [25]",0.11570455805199065,-0.9105364711215074,0.8460962268949841,0.5686332004037306,-0.18153406809662956
"MACALINTAL, MACAROMY (IND) [26]",-0.11784029584930837,-0.5207707094022921,0.9185034701912115,0.16255702441210698,-0.07957518625213568
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",-0.12658710449110933,-0.42508867931263483,0.9260098253689721,0.1626062822686828,-0.18519567067843556
"GADON, LARRY (KBL) [28]",-0.02364202512254443,-0.28032660362927486,0.30565608429936647,-0.12155903785932579,0.45152672922694703
"AGUILAR, FREDDIE (IND) [29]",0.1603163727154882,0.2279776197476422,-0.06042056022606375,-0.07562069623959135,0.03984013975621262
"CHONG, GLENN (KDP) [30]",0.07267359501239122,-0.23867713888119435,0.10770035258668569,-0.02917864406640766,0.33969901464583396
"MANGONDATO, FAISAL (IND) [31]",0.3188866732853959,0.011985529253585942,-0.07766839958075826,-0.09822527983780686,0.09861305289024619
"ESCUDERO, AGNES (IND) [32]",-0.018515042710053164,0.08179804206100355,0.11572861840499697,-0.034149930186637284,0.00757008071651661
