candidate,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
"PADILLA, ROBIN (PDPLBN) [1]",1.5070640752870421,1.7291737763253576,0.6329983709066934,1.87483905053901,1.279573511068763,1.492443953460429
"LEGARDA, LOREN (NPC) [2]",0.7090070866807485,0.2171481504252799,0.6824420530515367,0.6610569300596268,0.6302767045839636,0.5408077863019167
"TULFO, IDOL RAFFY (IND) [3]",0.6645272512374197,0.7321315888808895,1.1018800466206384,1.284551194979492,1.363140062453959,0.8542155860309173
"GATCHALIAN, WIN (NPC) [4]",0.6519828388887137,0.31467777682200354,0.7482098025305313,0.6502279165236938,0.6851325926691777,0.5185191183461365
"ESCUDERO, CHIZ (NPC) [5]",0.6574646157467547,0.572639717517877,0.6782586368808109,0.6660397365475285,0.6423676788337741,0.7279289808141041
"VILLAR, MARK (NP) [6]",0.5136124490286785,0.4510149935757262,0.6690738488660186,0.5727438297072815,0.7387343626673389,0.5409567078621742
"CAYETANO, ALAN PETER (IND) [7]",0.552168789055813,0.304431432548394,0.44081483019868145,0.49959657357845316,0.5690977279863044,0.38555373987372094
"ZUBIRI, MIGZ (IND) [8]",0.6725969790218688,0.5523185437001189,0.964859159340797,0.9468376851282391,0.9244741422653057,0.5917919580500255
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.5727131293745787,0.531709486480219,0.5861393282352959,0.5482982855596767,0.6314792504035158,0.5637235873087675
"EJERCITO, JV ESTRADA (NPC) [10]",0.5474432932073112,0.3958845360432832,0.3692049332595423,0.5384584001960245,0.6390805381565245,0.3724690000735166
"HONTIVEROS, RISA (AKBAYAN) [11]",0.4482889870929939,0.6413516389549743,0.6418418028680571,0.8109634528652115,0.4346855916422588,0.7095571705118673
"ESTRADA, JINGGOY (PMP) [12]",0.8190285520912723,0.5878546015520175,0.4972289445940289,1.0364808575337325,0.6290745687700898,0.6371630192691464
"BINAY, JOJO (UNA) [13]",0.9190007557090523,0.6205519383613676,0.4103381235036044,0.9005795416282144,0.7237559451914047,0.5728334095309663
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.7487821277173485,0.45806774100543146,0.604748922570929,0.6094187616161811,0.6455255996742026,0.6748444064541709
"TEODORO, GIBO (PRP) [15]",0.5415804926102621,0.38951383512635845,0.8544406807896543,0.6543878817530157,1.0431628799132548,0.799076368067614
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",1.014177544522371,0.9411913764399804,0.7652683207443555,0.8840604294746349,1.0257566441889805,0.575082858056881
"ROQUE, HARRY SPOX (PRP) [17]",0.5018819933680994,0.40307082503407593,0.4318138109198458,0.44404627592936463,0.8647868456298423,0.7335969517468554
"HONASAN, GRINGO (IND) [18]",0.23475188835826177,0.3187222501983904,0.377086036993035,0.4471393441839853,0.4924690841948998,0.3604168949752921
"DIOKNO, CHEL (KANP) [19]",0.6593753049399439,0.6795438288057758,0.7832558924041284,0.5749649069256711,0.7067916602807303,0.4640927021500755
"GADON, LARRY (KBL) [20]",0.5425142245272538,0.30236821471507963,0.5537703384147425,0.5180331641311537,0.7005361190514087,0.6383874259496345
"TRILLANES, ANTONIO IV (LP) [21]",0.41456313594818545,0.48331956311002716,0.4108493378811486,0.618230465722491,0.4796386062824684,0.5871736226194748
"GORDON, WOW DICK (BVNP) [22]",0.25774251621238736,0.3228908303155988,0.3322447434182525,0.3865651152613976,0.3069279078747988,0.38033806902301615
"DE LIMA, LEILA (LP) [23]",0.4389346324036148,0.52998163500529,0.4907221327094669,0.5806037825596031,0.6135527456418333,0.5102890775824387
"COLMENARES, NERI (MKBYN) [24]",0.3715987817662384,0.413868351338622,0.4957838940838054,0.4147567084548456,0.4351400436372657,0.3086055002386897
"LACSON, KUYA ALEX (KP) [25]",0.2827403456031818,0.3053126403480397,0.3150530349902138,0.27246369121411984,0.33171010791745303,0.20242870407522745
"PANELO, SAL PANALO (PDPLBN) [26]",0.3719851726971716,0.38421044526247367,0.3752285046755803,0.4474276895099904,0.6518318193825857,0.5251612535687359
"MARCOS, FRANCIS LEO (IND) [27]",0.23710488836637383,0.1515590686839332,0.30989676313880693,0.3279540413022033,0.3490774299013155,0.24992363935271783
"BAGUILAT, TEDDY (LP) [28]",0.48009174898569285,0.48021170804132424,0.4022797311961645,0.29182686516287765,0.5321811797555702,0.2197529630660836
"DEL ROSARIO, MONSOUR (PDR) [29]",0.12343901397832785,0.07917686232578808,0.16950519352792487,0.1736016219726255,0.16844078844346294,0.1151989765721802
"BALITA, CARL (AKSYON) [30]",0.2040907927201809,0.15915307087619757,0.1501055216128689,0.10399515043720106,0.13479920115312574,0.10333359119708553
"PADILLA, DRA. MINGUITA (PDR) [31]",0.14969995539296646,0.09682095977031017,0.10764218195988592,0.09191809365075992,0.15261530094591835,0.14159183733590144
"PIÑOL, MANNY (NPC) [32]",0.2943086762662793,0.24894539927500206,0.42850653225118146,0.46926313049808605,0.43071460999194705,0.31087535015217294
"MARCOLETA, RODANTE (PDPLBN) [33]",0.19809819959849945,0.19590921731487548,0.1409289332576097,0.1795204143345709,0.3059354816525499,0.23556225293723154
"PIMENTEL, ASTRA (PDPLBN) [34]",0.10436319012079721,0.1029467954202402,0.0531654403285116,0.05860664364804678,0.09661226466188015,0.05697991629685305
