candidate,arch_0,arch_1
"POE, GRACE [1]",1.1214946133455537e-16,1.1214946133455535e-15
"LEGARDA, LOREN (NPC) [2]",2.2429892266911074e-16,6.728967680073322e-16
"ESCUDERO, CHIZ [3]",0.0,6.728967680073322e-16
"CAYETANO, ALAN PETER (NP) [4]",0.0,0.0
"BINAY, NANCY (UNA) [5]",7.850462293418876e-16,5.607473066727768e-16
"ANGARA, EDGARDO (LDP) [6]",0.0,7.850462293418876e-16
"AQUINO, BENIGNO BAM (LP) [7]",1.1214946133455537e-16,7.850462293418876e-16
"PIMENTEL, KOKO (PDP) [8]",7.00934133340971e-17,1.1214946133455537e-16
"TRILLANES, ANTONIO IV (NP) [9]",0.0,5.607473066727768e-16
"VILLAR, CYNTHIA HANEPBUHAY (NP) [10]",2.803736533363884e-16,0.0
"EJERCITO ESTRADA, JV (UNA) [11]",9.813077866773594e-17,3.364483840036661e-16
"HONASAN, GRINGO (UNA) [12]",5.607473066727768e-17,5.607473066727768e-16
"GORDON, DICK (UNA) [13]",5.607473066727768e-17,6.728967680073322e-16
"ZUBIRI, MIGZ (UNA) [14]",5.607473066727768e-17,5.607473066727768e-16
"ENRILE, JUAN PONCE JR.(NPC) [15]",2.803736533363884e-16,0.0
"MAGSAYSAY, RAMON JR. (LP) [16]",9.813077866773594e-17,4.485978453382215e-16
"HONTIVEROS, RISA (AKBAYAN) [17]",2.803736533363884e-16,4.485978453382215e-16
"HAGEDORN, ED [18]",5.607473066727768e-17,4.485978453382215e-16
"VILLANUEVA, BRO.EDDIE (BP) [19]",7.00934133340971e-17,4.485978453382215e-16
"MADRIGAL, JAMBY (LP) [20]",1.1214946133455537e-16,0.0
"MAGSAYSAY, MITOS (UNA) [21]",2.803736533363884e-17,1.6822419200183304e-16
"CASINO, TEDDY (MKB) [22]",0.0,2.2429892266911074e-16
"MACEDA, MANONG ERNIE (UNA) [23]",0.0,8.411209600091652e-17
"COJUANGCO, TINGTING (UNA) [24]",8.411209600091652e-17,1.6822419200183304e-16
"DELOS REYES, JC (KPTRAN) [25]",1.0514012000114565e-17,9.813077866773594e-17
"ALCANTARA, SAMSON (SJS) [26]",1.1214946133455537e-16,1.401868266681942e-17
"BELGICA, GRECO (DPP) [27]",1.7523353333524274e-17,7.00934133340971e-18
"PENSON, RICARDO [28]",0.0,3.504670666704855e-17
"DAVID, LITO (KPTRAN) [29]",4.906538933386797e-17,3.504670666704855e-17
"MONTANO, MON [30]",8.411209600091652e-17,4.906538933386797e-17
"FALCONE, BAL (DPP) [31]",1.401868266681942e-17,2.4532694666933986e-17
